band,paradigm,good_lemma,bad_lemma,bad_active_class,n_frames,good_lemma_zipf,bad_lemma_zipf,mean_lemma_zipf,mean_form_zipf,mean_margin,accuracy,verb_margin,suffix_margin,by_margin,good_verb_tokens,bad_verb_tokens
head,passive_2,introduce,arrive,simple_intransitive,2,4.37,4.38,4.375,4.755,2.428403079509735,1.0,4.265625,-1.837221920490265,0.0,1,1
head,passive_2,lease,apologize,optional_preposition,2,4.17,4.16,4.165,3.625,9.814712762832642,1.0,8.404296875,1.4104158878326416,0.0,1,1
head,passive_2,lend,opt,optional_preposition,2,3.92,3.9,3.91,3.75,5.896594762802124,1.0,6.58984375,-0.693248987197876,0.0,1,1
head,passive_2,load,respond,optional_preposition,2,4.58,4.53,4.555,4.255,9.804946422576904,1.0,7.6796876192092896,2.1252588033676147,0.0,1,1
head,passive_2,measure,laugh,simple_intransitive,2,4.65,4.66,4.655,4.245,11.977340459823608,1.0,10.3125,1.6648404598236084,0.0,1,1
head,passive_2,rate,result,preferred_preposition,2,5.14,5.18,5.16,4.335,5.2107179164886475,1.0,6.4921875,-1.2814695835113525,0.0,1,1
head,passive_2,rob,belong,preferred_preposition,2,4.35,4.38,4.365,3.945,12.860915541648865,1.0,9.64599609375,3.2149194478988647,0.0,1,1
head,passive_2,score,remain,simple_intransitive,2,4.83,4.83,4.83,4.625,6.0475754737854,1.0,5.6328125,0.4147629737854004,0.0,1,1
head,passive_2,send,die,simple_intransitive,2,5.11,5.07,5.09,5.18,7.550927639007568,1.0,10.929687142372131,-3.378759503364563,0.0,1,1
head,passive_2,sum,compete,simple_intransitive,2,4.34,4.39,4.365,3.54,0.9497032165527344,1.0,2.3671875,-1.4174842834472656,0.0,1,1
head,passive_2,target,lie,simple_intransitive,2,4.82,4.84,4.83,4.215,8.372926473617554,1.0,7.2734375,1.0994889736175537,0.0,1,1
head,passive_2,thank,matter,simple_intransitive,2,5.48,5.38,5.43,3.585,5.44857382774353,1.0,6.564453125,-1.1158792972564697,0.0,1,1
head,passive_2,upgrade,complain,simple_intransitive,2,4.24,4.23,4.235,3.96,9.19780421257019,1.0,7.1328125,2.0649917125701904,0.0,1,1
tail,passive_1,approximate,muse,released_inventory,2,3.64,3.59,3.615,2.675,5.69698828458786,1.0,5.666280746459961,0.03070753812789917,2.7280754446983337,1,2
