paradigm,band,n_verb_pairs,n_sentence_pairs,accuracy,accuracy_ci_lo,accuracy_ci_hi,mean_margin,margin_ci_lo,margin_ci_hi,mean_verb_margin,mean_suffix_margin,mean_by_margin,mean_lemma_zipf,mean_form_zipf,mean_good_verb_tokens,mean_bad_verb_tokens
passive_1,head,26,52,1.0,1.0,1.0,9.330236889995062,8.284715173336176,10.352589428711395,7.018235435852637,2.3120014541424236,1.5394682560402613,4.5273076923076925,4.166538461538462,1.0,1.0
passive_1,tail,50,100,0.99,0.97,1.0,9.968569560568431,8.8149202964711,11.072965153600089,6.749605709334137,3.2189638512342937,1.0843924403190612,3.3416,2.8352,2.06,1.98
passive_1,xtail,50,100,0.99,0.97,1.0,7.1780508738145,6.234199736596784,8.120017591020442,4.685234622617136,2.492816251197364,0.40731042355298996,2.5351,1.8354,2.54,2.46
passive_2,head,26,52,1.0,1.0,1.0,6.890035427533663,5.719695817965728,8.062904600913708,7.018235435852637,-0.12820000831897443,0.0,4.5273076923076925,4.166538461538462,1.0,1.0
passive_2,tail,50,100,0.99,0.97,1.0,7.887748136540177,7.030127956911456,8.71450792250922,6.749605709334137,1.1381424272060394,0.0,3.3416,2.8352,2.06,1.98
passive_2,xtail,50,100,0.96,0.91,1.0,5.1419200715021,4.364681111608515,5.908100068133208,4.685234622617136,0.456685448884964,0.0,2.5351,1.8354,2.54,2.46
