regime,subtask,direction,site,site_index,n,mean_exact_effect,mean_abs_exact_effect,mean_normalized_effect,mean_corrupt_metric,mean_patched_metric,mean_clean_metric
head,drop_argument,good_to_bad,resid_post_layer_23,24,15,6.00625,6.964583333333334,1.0693780756006364,-6.218749968210856,-0.21249998410542806,-0.4541666507720947
head,drop_argument,bad_to_good,resid_post_layer_23,24,15,5.762500015894572,6.779166618982951,1.0130941398713824,0.4541666507720947,6.2166666984558105,6.218749968210856
head,drop_argument,bad_to_good,resid_post_layer_18,19,15,5.764583349227905,6.739583285649617,1.0,0.4541666507720947,6.218749968210856,6.218749968210856
head,drop_argument,bad_to_good,resid_post_layer_19,20,15,5.764583349227905,6.739583285649617,1.0,0.4541666507720947,6.218749968210856,6.218749968210856
head,drop_argument,bad_to_good,resid_post_layer_20,21,15,5.764583349227905,6.739583285649617,1.0,0.4541666507720947,6.218749968210856,6.218749968210856
head,drop_argument,bad_to_good,resid_post_layer_21,22,15,5.764583349227905,6.739583285649617,1.0,0.4541666507720947,6.218749968210856,6.218749968210856
head,drop_argument,bad_to_good,resid_post_layer_22,23,15,5.764583349227905,6.739583285649617,1.0,0.4541666507720947,6.218749968210856,6.218749968210856
head,drop_argument,good_to_bad,resid_post_layer_18,19,15,5.764583349227905,6.739583285649617,1.0,-6.218749968210856,-0.4541666507720947,-0.4541666507720947
head,drop_argument,good_to_bad,resid_post_layer_19,20,15,5.764583349227905,6.739583285649617,1.0,-6.218749968210856,-0.4541666507720947,-0.4541666507720947
head,drop_argument,good_to_bad,resid_post_layer_20,21,15,5.764583349227905,6.739583285649617,1.0,-6.218749968210856,-0.4541666507720947,-0.4541666507720947
head,drop_argument,good_to_bad,resid_post_layer_21,22,15,5.764583349227905,6.739583285649617,1.0,-6.218749968210856,-0.4541666507720947,-0.4541666507720947
head,drop_argument,good_to_bad,resid_post_layer_22,23,15,5.764583349227905,6.739583285649617,1.0,-6.218749968210856,-0.4541666507720947,-0.4541666507720947
tail,drop_argument,good_to_bad,resid_post_layer_23,24,12,2.9973957538604736,5.455729166666667,1.05952322333474,-4.997395813465118,-2.0000000596046448,-2.151041626930237
