regime,subtask,side,n,mean_expected_logodds,expected_preferred_rate,min_expected_logodds,max_expected_logodds
head,causative,bad,440,1.2166193176399578,0.7318181818181818,-3.8125,6.687499523162842
head,causative,good,620,3.866834677996174,0.8661290322580645,-4.375,9.875
head,inchoative,bad,320,5.686132802814245,1.0,2.1875,8.71875
head,inchoative,good,620,-1.5768649201239309,0.21451612903225806,-7.500000476837158,5.4375
low,causative,bad,460,1.0096467386121335,0.7021739130434783,-6.125,5.5625
low,causative,good,280,4.343303577389036,0.9464285714285714,-4.3125,9.5
low,inchoative,bad,540,4.273379624331439,0.9981481481481481,-0.0625,8.59375
low,inchoative,good,280,-1.281026788694518,0.22857142857142856,-6.4375,4.25
