control,seed,regime,subtask,clean_source_zipf_regime,clean_inventory_source,n,mean_corrupt_metric,mean_patched_metric,mean_clean_metric,mean_effect,effect_ci95_lo,effect_ci95_hi,mean_normalized_effect,patched_success_rate
none@l20,17,low,causative,xtail,freqblimp_curated,20,-1.790624988079071,6.635937511920929,3.3937500178813935,8.426562523841858,7.2312500238418576,9.653125047683716,1.2614470844811685,1.0
none@l20,17,low,causative,xtail,supplemental_v2_bad_verbs,43,-4.2630814036657645,3.1991279319275256,1.2238372093023255,7.462209307870199,6.599563959032991,8.313226744186046,1.40242227692127,0.9302325581395349
none@l20,17,low,inchoative,low_gap,freqblimp_curated,20,-4.320312488079071,1.5374999821186066,-0.928125,5.8578125,4.9921875,6.775,1.8335030559555516,0.8
none@l20,17,low,inchoative,low_gap,supplemental_v2_bad_verbs,25,1.1400000047683716,7.47625,4.887499980926513,6.33625,5.3425,7.42,1.4125365589528815,1.0
none@l20,17,low,inchoative,tail,freqblimp_curated,240,-4.312109364072482,0.9699218779802322,-1.3276041701436043,5.282031240065892,4.92656248609225,5.625911444425583,1.543806454947068,0.6833333333333333
none@l20,17,low,inchoative,tail,supplemental_v2_bad_verbs,139,1.3408273432752211,7.647706831959511,4.6229766109864485,6.306879492114774,5.775741890180025,6.885341724903464,1.649184448487588,1.0
none@l20,17,low,inchoative,xtail,freqblimp_curated,20,-4.471874940395355,1.8812499940395355,-1.096875,6.353124952316284,5.6124999761581424,7.126562476158142,2.3038553458894793,0.95
none@l20,17,low,inchoative,xtail,supplemental_v2_bad_verbs,116,1.2435344827586208,6.934806018040098,3.8445581680741805,5.69127152911548,5.103448241949081,6.249191803151164,2.0496463842508468,0.9913793103448276
dummy_pair,17,head,causative,head,freqblimp_curated,236,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.5
dummy_pair,17,head,inchoative,head,freqblimp_curated,101,-2.4368812117246117,-2.4368812117246117,-2.4368812117246117,0.0,0.0,0.0,nan,0.15841584158415842
dummy_pair,17,head,inchoative,head,supplemental_v2_bad_verbs,69,3.5670290200606636,3.5670290200606636,3.5670290200606636,0.0,0.0,0.0,nan,1.0
dummy_pair,17,low,causative,low_gap,freqblimp_curated,20,4.814062511920929,4.814062511920929,4.814062511920929,0.0,0.0,0.0,nan,1.0
dummy_pair,17,low,causative,low_gap,supplemental_v2_bad_verbs,42,-4.787202392305646,-4.787202392305646,-4.787202392305646,0.0,0.0,0.0,nan,0.0
dummy_pair,17,low,causative,tail,freqblimp_curated,276,3.579030806603639,3.579030806603639,3.579030806603639,0.0,0.0,0.0,nan,0.8695652173913043
dummy_pair,17,low,causative,tail,supplemental_v2_bad_verbs,159,-4.851218566954511,-4.851218566954511,-4.851218566954511,0.0,0.0,0.0,nan,0.0
dummy_pair,17,low,causative,xtail,freqblimp_curated,20,4.814062511920929,4.814062511920929,4.814062511920929,0.0,0.0,0.0,nan,1.0
dummy_pair,17,low,causative,xtail,supplemental_v2_bad_verbs,43,-4.836482569228771,-4.836482569228771,-4.836482569228771,0.0,0.0,0.0,nan,0.0
