lemma,n_t_plus,n_t_minus,mean_p_object_t_plus,mean_p_object_t_minus,delta_p_object,mean_raw_object_t_plus,mean_raw_object_t_minus,mean_period_t_plus,mean_period_t_minus,probe_form_token_count,probe_form_token_pieces,probe_subject,probe_subject_animacy
nudup,1,1,0.8502306938171387,0.01964295655488968,0.830587737262249,0.017789240926504135,0.0037322398275136948,0.0031335989478975534,0.18627174198627472,2,"['Ġnud', 'up']",shirt,inanimate
pefet,1,1,0.6993887424468994,0.06570128351449966,0.6336874589323997,0.0342378206551075,0.03169678524136543,0.014716100879013538,0.4507410228252411,2,"['Ġpe', 'fet']",shirt,inanimate
pleeshop,1,1,0.7814483642578125,0.01930050738155842,0.7621478568762541,0.07174074649810791,0.013734042644500732,0.0200641006231308,0.6978556513786316,3,"['Ġple', 'es', 'hop']",box,inanimate
sezip,1,1,0.9897473454475403,0.14768576622009277,0.8420615792274475,0.09077421575784683,0.07952752709388733,0.0009403143776580691,0.45896396040916443,2,"['Ġse', 'zip']",student,animate
skaickle,1,1,0.6053370833396912,0.018113886937499046,0.5872231964021921,0.05126073211431503,0.012774677947163582,0.03342057019472122,0.6924675107002258,3,"['Ġska', 'ick', 'le']",box,inanimate
skaickop,1,1,0.9105300903320312,0.4039759039878845,0.5065541863441467,0.09502774477005005,0.10760167986154556,0.009337550960481167,0.15875498950481415,3,"['Ġska', 'ick', 'op']",student,animate
skaickum,1,1,0.29568108916282654,0.06288702040910721,0.23279406875371933,0.021031316369771957,0.005469478666782379,0.050097059458494186,0.08150361478328705,3,"['Ġska', 'ick', 'um']",shirt,inanimate
sugop,1,1,0.9656338095664978,0.4339221715927124,0.5317116379737854,0.028433531522750854,0.1351771354675293,0.0010119283106178045,0.1763467639684677,2,"['Ġsug', 'op']",driver,animate
tekom,1,1,0.7507133483886719,0.050998199731111526,0.6997151486575603,0.05325457826256752,0.03027178905904293,0.017684049904346466,0.5633136630058289,2,"['Ġte', 'kom']",chef,animate
texev,1,1,0.8467108607292175,0.21089033782482147,0.6358205229043961,0.021645670756697655,0.0013705866876989603,0.003918748814612627,0.005128462798893452,2,"['Ġtex', 'ev']",student,animate
texom,1,1,0.5660986304283142,0.14975419640541077,0.41634443402290344,0.08369013667106628,0.022421468049287796,0.06414653360843658,0.12730033695697784,2,"['Ġtex', 'om']",paper,inanimate
tobiv,1,1,0.6374062299728394,0.14363649487495422,0.49376973509788513,0.0200167465955019,0.009874851442873478,0.011386688798666,0.05887405201792717,2,"['Ġtob', 'iv']",paper,inanimate
tozip,1,1,0.22547033429145813,0.0040717520751059055,0.22139858221635222,0.01176442950963974,0.00077625154517591,0.04041285440325737,0.18986688554286957,2,"['Ġto', 'zip']",shirt,inanimate
vedev,1,1,0.7512753009796143,0.050525516271591187,0.7007497847080231,0.005287721753120422,2.2771284420741722e-05,0.0017506059957668185,0.00042791751911863685,2,"['Ġved', 'ev']",driver,animate
vedup,1,1,0.8111399412155151,0.058327361941337585,0.7528125792741776,0.03201739117503166,0.0017718267627060413,0.007454701699316502,0.02860545553267002,2,"['Ġved', 'up']",student,animate
vefet,1,1,0.9695819616317749,0.2595926523208618,0.7099893093109131,0.06031494587659836,0.09592898190021515,0.0018922219751402736,0.2736075818538666,2,"['Ġve', 'fet']",driver,animate
veket,1,1,0.804277777671814,0.0722101554274559,0.7320676222443581,0.02314281277358532,0.003752946387976408,0.005631838459521532,0.04821961000561714,2,"['Ġve', 'ket']",box,inanimate
vezev,1,1,0.8803630471229553,0.22935423254966736,0.651008814573288,0.011453541927039623,0.0001973961479961872,0.0015564790228381753,0.0006632644217461348,2,"['Ġvez', 'ev']",student,animate
vezop,1,1,0.9551530480384827,0.205032080411911,0.7501209676265717,0.04606667160987854,0.08311007916927338,0.0021629533730447292,0.32224148511886597,2,"['Ġvez', 'op']",chef,animate
vidiv,1,1,0.6386712789535522,0.10341352224349976,0.5352577567100525,0.03601153939962387,0.01928132213652134,0.020373553037643433,0.16716742515563965,2,"['Ġvid', 'iv']",shirt,inanimate
viget,1,1,0.7592827081680298,0.01307559385895729,0.7462071143090725,0.04426916316151619,0.00954569224268198,0.014034762047231197,0.7204931974411011,2,"['Ġvig', 'et']",shirt,inanimate
vilom,1,1,0.943829357624054,0.17131295800209045,0.7725163996219635,0.07146471738815308,0.08929001539945602,0.0042531187646090984,0.4319199323654175,2,"['Ġvil', 'om']",student,animate
vizop,1,1,0.8617525100708008,0.1086345687508583,0.7531179413199425,0.0737626925110817,0.03676505386829376,0.011833447962999344,0.3016636371612549,2,"['Ġviz', 'op']",box,inanimate
vomom,1,1,0.9214386343955994,0.0412556417286396,0.8801829926669598,0.10008659958839417,0.028341686353087425,0.008533332496881485,0.6586354970932007,2,"['Ġvom', 'om']",student,animate
vomum,1,1,0.974542498588562,0.08786303550004959,0.8866794630885124,0.08024744689464569,0.05587518960237503,0.002096266485750675,0.5800599455833435,2,"['Ġvom', 'um']",driver,animate
vonen,1,1,0.9828380346298218,0.2367088496685028,0.746129184961319,0.07487894594669342,0.10792569071054459,0.0013075127499178052,0.3480170965194702,2,"['Ġvon', 'en']",student,animate
