lemma,n_t_plus,n_t_minus,mean_coord_raw_t_plus,mean_coord_raw_t_minus,delta_coord_raw,mean_coord_calibrated_t_plus,mean_coord_calibrated_t_minus,delta_coord_calibrated,probe_form_token_count,probe_form_token_pieces,probe_subject,probe_subject_animacy
bekup,1,1,-8.020378112792969,0.8864362239837646,-8.906814336776733,8.020378112792969,-0.8864362239837646,8.906814336776733,2,"['Ġbek', 'up']",driver,animate
bifum,1,1,-13.263284683227539,-2.4466867446899414,-10.816597938537598,13.263284683227539,2.4466867446899414,10.816597938537598,2,"['Ġbif', 'um']",shirt,inanimate
bipum,1,1,-7.87466287612915,-2.593522548675537,-5.281140327453613,7.87466287612915,2.593522548675537,5.281140327453613,2,"['Ġbip', 'um']",paper,inanimate
bufen,1,1,-16.59459686279297,-3.478032112121582,-13.116564750671387,16.59459686279297,3.478032112121582,13.116564750671387,2,"['Ġbuf', 'en']",student,animate
bufum,1,1,-13.410351753234863,-4.957548141479492,-8.452803611755371,13.410351753234863,4.957548141479492,8.452803611755371,2,"['Ġbuf', 'um']",student,animate
buviv,1,1,-10.611907958984375,-4.685842514038086,-5.926065444946289,10.611907958984375,4.685842514038086,5.926065444946289,2,"['Ġbu', 'viv']",chef,animate
dezip,1,1,-11.42442798614502,0.7968692779541016,-12.221297264099121,11.42442798614502,-0.7968692779541016,12.221297264099121,2,"['Ġde', 'zip']",box,inanimate
difev,1,1,-4.917633533477783,-0.1292245090007782,-4.788409024477005,4.917633533477783,0.1292245090007782,4.788409024477005,2,"['Ġdif', 'ev']",box,inanimate
dizop,1,1,-16.590824127197266,-2.827239513397217,-13.763584613800049,16.590824127197266,2.827239513397217,13.763584613800049,2,"['Ġdiz', 'op']",student,animate
dizup,1,1,-14.360176086425781,3.8026695251464844,-18.162845611572266,14.360176086425781,-3.8026695251464844,18.162845611572266,2,"['Ġdiz', 'up']",driver,animate
dokip,1,1,-7.550570964813232,1.587000846862793,-9.137571811676025,7.550570964813232,-1.587000846862793,9.137571811676025,2,"['Ġdo', 'kip']",box,inanimate
draicken,1,1,-14.07908821105957,0.12094295024871826,-14.200031161308289,14.07908821105957,-0.12094295024871826,14.200031161308289,2,"['Ġdra', 'icken']",student,animate
draickle,1,1,-16.86992073059082,-0.3646840453147888,-16.50523668527603,16.86992073059082,0.3646840453147888,16.50523668527603,3,"['Ġdra', 'ick', 'le']",student,animate
draickop,1,1,-14.243624687194824,-3.700620651245117,-10.543004035949707,14.243624687194824,3.700620651245117,10.543004035949707,3,"['Ġdra', 'ick', 'op']",chef,animate
droocken,1,1,-15.385066032409668,-1.0649793148040771,-14.32008671760559,15.385066032409668,1.0649793148040771,14.32008671760559,3,"['Ġdro', 'ock', 'en']",box,inanimate
droockip,1,1,-9.201098442077637,-0.9717901945114136,-8.229308247566223,9.201098442077637,0.9717901945114136,8.229308247566223,3,"['Ġdro', 'ock', 'ip']",shirt,inanimate
droockle,1,1,-15.047018051147461,1.9663231372833252,-17.013341188430786,15.047018051147461,-1.9663231372833252,17.013341188430786,3,"['Ġdro', 'ock', 'le']",paper,inanimate
fazup,1,1,-12.30417537689209,-0.5610427856445312,-11.743132591247559,12.30417537689209,0.5610427856445312,11.743132591247559,2,"['Ġfaz', 'up']",chef,animate
fegom,1,1,-11.252588272094727,-3.3810720443725586,-7.871516227722168,11.252588272094727,3.3810720443725586,7.871516227722168,2,"['Ġfe', 'gom']",driver,animate
felev,1,1,-8.954699516296387,-2.8781626224517822,-6.0765368938446045,8.954699516296387,2.8781626224517822,6.0765368938446045,2,"['Ġfe', 'lev']",paper,inanimate
feviv,1,1,-8.784830093383789,-2.8175265789031982,-5.967303514480591,8.784830093383789,2.8175265789031982,5.967303514480591,2,"['Ġfe', 'viv']",shirt,inanimate
fifum,1,1,-10.075960159301758,-5.997743606567383,-4.078216552734375,10.075960159301758,5.997743606567383,4.078216552734375,2,"['Ġfif', 'um']",driver,animate
fifup,1,1,-18.302959442138672,1.620314121246338,-19.92327356338501,18.302959442138672,-1.620314121246338,19.92327356338501,2,"['Ġfif', 'up']",shirt,inanimate
gefle,1,1,-10.866661071777344,-3.262667655944824,-7.6039934158325195,10.866661071777344,3.262667655944824,7.6039934158325195,2,"['Ġgef', 'le']",paper,inanimate
givom,1,1,-10.813575744628906,-2.024545431137085,-8.789030313491821,10.813575744628906,2.024545431137085,8.789030313491821,2,"['Ġgiv', 'om']",box,inanimate
gleeshet,1,1,-7.3473005294799805,5.744313716888428,-13.091614246368408,7.3473005294799805,-5.744313716888428,13.091614246368408,3,"['Ġgle', 'es', 'het']",paper,inanimate
gleeshev,1,1,-8.746260643005371,-3.8227899074554443,-4.923470735549927,8.746260643005371,3.8227899074554443,4.923470735549927,3,"['Ġgle', 'es', 'hev']",student,animate
gleeshiv,1,1,-8.150388717651367,-6.50894832611084,-1.6414403915405273,8.150388717651367,6.50894832611084,1.6414403915405273,3,"['Ġgle', 'esh', 'iv']",paper,inanimate
gleeshle,1,1,-17.710691452026367,-0.7692378759384155,-16.94145357608795,17.710691452026367,0.7692378759384155,16.94145357608795,3,"['Ġgle', 'esh', 'le']",paper,inanimate
gloocket,1,1,-12.655949592590332,-0.465614914894104,-12.190334677696228,12.655949592590332,0.465614914894104,12.190334677696228,2,"['Ġglo', 'ocket']",student,animate
gufen,1,1,-11.810321807861328,0.19565510749816895,-12.005976915359497,11.810321807861328,-0.19565510749816895,12.005976915359497,2,"['Ġgu', 'fen']",shirt,inanimate
kekom,1,1,-7.720077037811279,2.2028868198394775,-9.922963857650757,7.720077037811279,-2.2028868198394775,9.922963857650757,2,"['Ġke', 'kom']",driver,animate
kloolen,1,1,-14.128504753112793,-4.532041549682617,-9.596463203430176,14.128504753112793,4.532041549682617,9.596463203430176,3,"['Ġkl', 'ool', 'en']",shirt,inanimate
kloolle,1,1,-11.673938751220703,0.41488873958587646,-12.08882749080658,11.673938751220703,-0.41488873958587646,12.08882749080658,3,"['Ġkl', 'ool', 'le']",shirt,inanimate
kloolup,1,1,-12.75394344329834,1.0636577606201172,-13.817601203918457,12.75394344329834,-1.0636577606201172,13.817601203918457,3,"['Ġkl', 'ool', 'up']",student,animate
kloozen,1,1,-16.050235748291016,-1.3663229942321777,-14.683912754058838,16.050235748291016,1.3663229942321777,14.683912754058838,3,"['Ġkl', 'oo', 'zen']",box,inanimate
mexiv,1,1,-9.77553939819336,-1.017613410949707,-8.757925987243652,9.77553939819336,1.017613410949707,8.757925987243652,2,"['Ġme', 'xiv']",driver,animate
mulom,1,1,-8.878286361694336,-3.8381078243255615,-5.040178537368774,8.878286361694336,3.8381078243255615,5.040178537368774,2,"['Ġmul', 'om']",chef,animate
navip,1,1,-6.686405658721924,-0.8755991458892822,-5.810806512832642,6.686405658721924,0.8755991458892822,5.810806512832642,2,"['Ġnav', 'ip']",box,inanimate
negiv,1,1,-9.770330429077148,-5.815341949462891,-3.954988479614258,9.770330429077148,5.815341949462891,3.954988479614258,2,"['Ġneg', 'iv']",paper,inanimate
nexev,1,1,-7.2736005783081055,-1.678295373916626,-5.5953052043914795,7.2736005783081055,1.678295373916626,5.5953052043914795,2,"['Ġnex', 'ev']",student,animate
nexip,1,1,-11.020318984985352,-3.481367349624634,-7.538951635360718,11.020318984985352,3.481367349624634,7.538951635360718,2,"['Ġnex', 'ip']",driver,animate
noviv,1,1,-7.984907150268555,-4.756645202636719,-3.228261947631836,7.984907150268555,4.756645202636719,3.228261947631836,2,"['Ġnov', 'iv']",paper,inanimate
nudup,1,1,-14.45288372039795,-1.7227897644042969,-12.730093955993652,14.45288372039795,1.7227897644042969,12.730093955993652,2,"['Ġnud', 'up']",shirt,inanimate
pefet,1,1,-10.64676570892334,-2.305511951446533,-8.341253757476807,10.64676570892334,2.305511951446533,8.341253757476807,2,"['Ġpe', 'fet']",shirt,inanimate
pleeshop,1,1,-13.396625518798828,0.3018850088119507,-13.698510527610779,13.396625518798828,-0.3018850088119507,13.698510527610779,3,"['Ġple', 'es', 'hop']",box,inanimate
sezip,1,1,-18.49544906616211,-4.71898078918457,-13.776468276977539,18.49544906616211,4.71898078918457,13.776468276977539,2,"['Ġse', 'zip']",student,animate
skaickle,1,1,-12.994245529174805,-1.3542306423187256,-11.640014886856079,12.994245529174805,1.3542306423187256,11.640014886856079,3,"['Ġska', 'ick', 'le']",box,inanimate
skaickop,1,1,-13.51491641998291,-6.640359401702881,-6.874557018280029,13.51491641998291,6.640359401702881,6.874557018280029,3,"['Ġska', 'ick', 'op']",student,animate
skaickum,1,1,-5.736053943634033,-3.7136731147766113,-2.022380828857422,5.736053943634033,3.7136731147766113,2.022380828857422,3,"['Ġska', 'ick', 'um']",shirt,inanimate
sugop,1,1,-15.490079879760742,-5.193578243255615,-10.296501636505127,15.490079879760742,5.193578243255615,10.296501636505127,2,"['Ġsug', 'op']",driver,animate
tekom,1,1,-5.6559062004089355,1.7537438869476318,-7.409650087356567,5.6559062004089355,-1.7537438869476318,7.409650087356567,2,"['Ġte', 'kom']",chef,animate
texev,1,1,-5.334892749786377,-1.5078794956207275,-3.8270132541656494,5.334892749786377,1.5078794956207275,3.8270132541656494,2,"['Ġtex', 'ev']",student,animate
texom,1,1,-3.9432811737060547,-2.278360605239868,-1.6649205684661865,3.9432811737060547,2.278360605239868,1.6649205684661865,2,"['Ġtex', 'om']",paper,inanimate
tobiv,1,1,-5.840939998626709,-3.4832825660705566,-2.3576574325561523,5.840939998626709,3.4832825660705566,2.3576574325561523,2,"['Ġtob', 'iv']",paper,inanimate
tozip,1,1,-11.523067474365234,2.3775131702423096,-13.900580644607544,11.523067474365234,-2.3775131702423096,13.900580644607544,2,"['Ġto', 'zip']",shirt,inanimate
vedev,1,1,-7.562173366546631,-2.3082046508789062,-5.253968715667725,7.562173366546631,2.3082046508789062,5.253968715667725,2,"['Ġved', 'ev']",driver,animate
vedup,1,1,-14.446403503417969,0.7292201519012451,-15.175623655319214,14.446403503417969,-0.7292201519012451,15.175623655319214,2,"['Ġved', 'up']",student,animate
vefet,1,1,-15.911725997924805,-6.680185317993164,-9.23154067993164,15.911725997924805,6.680185317993164,9.23154067993164,2,"['Ġve', 'fet']",driver,animate
veket,1,1,-10.059518814086914,-0.93603515625,-9.123483657836914,10.059518814086914,0.93603515625,9.123483657836914,2,"['Ġve', 'ket']",box,inanimate
vezev,1,1,-4.712432861328125,-1.8615989685058594,-2.8508338928222656,4.712432861328125,1.8615989685058594,2.8508338928222656,2,"['Ġvez', 'ev']",student,animate
vezop,1,1,-16.089323043823242,-4.401692867279053,-11.68763017654419,16.089323043823242,4.401692867279053,11.68763017654419,2,"['Ġvez', 'op']",chef,animate
vidiv,1,1,-6.965494632720947,-4.068233489990234,-2.897261142730713,6.965494632720947,4.068233489990234,2.897261142730713,2,"['Ġvid', 'iv']",shirt,inanimate
viget,1,1,-15.627642631530762,1.7384092807769775,-17.36605191230774,15.627642631530762,-1.7384092807769775,17.36605191230774,2,"['Ġvig', 'et']",shirt,inanimate
vilom,1,1,-11.538280487060547,-4.090977668762207,-7.44730281829834,11.538280487060547,4.090977668762207,7.44730281829834,2,"['Ġvil', 'om']",student,animate
vizop,1,1,-8.964643478393555,-3.513444185256958,-5.451199293136597,8.964643478393555,3.513444185256958,5.451199293136597,2,"['Ġviz', 'op']",box,inanimate
vomom,1,1,-11.01913833618164,0.31946003437042236,-11.338598370552063,11.01913833618164,-0.31946003437042236,11.338598370552063,2,"['Ġvom', 'om']",student,animate
