lemma,n_t_plus,n_t_minus,mean_coord_raw_t_plus,mean_coord_raw_t_minus,delta_coord_raw,mean_coord_calibrated_t_plus,mean_coord_calibrated_t_minus,delta_coord_calibrated,probe_form_token_count,probe_form_token_pieces,probe_subject,probe_subject_animacy
bekup,1,1,-11.407181739807129,-0.023386478424072266,-11.383795261383057,11.407181739807129,0.023386478424072266,11.383795261383057,2,"['Ġbek', 'up']",driver,animate
bifum,1,1,-22.09081268310547,-8.090188026428223,-14.000624656677246,22.09081268310547,8.090188026428223,14.000624656677246,2,"['Ġbif', 'um']",shirt,inanimate
bipum,1,1,-15.224197387695312,-8.94066333770752,-6.283534049987793,15.224197387695312,8.94066333770752,6.283534049987793,2,"['Ġbip', 'um']",paper,inanimate
bufen,1,1,-24.79300308227539,-9.085843086242676,-15.707159996032715,24.79300308227539,9.085843086242676,15.707159996032715,2,"['Ġbuf', 'en']",student,animate
bufum,1,1,-20.972965240478516,-10.93854808807373,-10.034417152404785,20.972965240478516,10.93854808807373,10.034417152404785,2,"['Ġbuf', 'um']",student,animate
buviv,1,1,-16.0958251953125,-8.69825267791748,-7.3975725173950195,16.0958251953125,8.69825267791748,7.3975725173950195,2,"['Ġbu', 'viv']",chef,animate
dezip,1,1,-17.62464141845703,-2.011186122894287,-15.613455295562744,17.62464141845703,2.011186122894287,15.613455295562744,2,"['Ġde', 'zip']",box,inanimate
difev,1,1,-9.500502586364746,-1.2624105215072632,-8.238092064857483,9.500502586364746,1.2624105215072632,8.238092064857483,2,"['Ġdif', 'ev']",box,inanimate
dizop,1,1,-25.971057891845703,-9.43692684173584,-16.534131050109863,25.971057891845703,9.43692684173584,16.534131050109863,2,"['Ġdiz', 'op']",student,animate
dizup,1,1,-21.875091552734375,1.2984747886657715,-23.173566341400146,21.875091552734375,-1.2984747886657715,23.173566341400146,2,"['Ġdiz', 'up']",driver,animate
dokip,1,1,-12.391271591186523,-1.4854927062988281,-10.905778884887695,12.391271591186523,1.4854927062988281,10.905778884887695,2,"['Ġdo', 'kip']",box,inanimate
draicken,1,1,-22.380449295043945,-4.916439056396484,-17.46401023864746,22.380449295043945,4.916439056396484,17.46401023864746,2,"['Ġdra', 'icken']",student,animate
draickle,1,1,-25.182598114013672,-5.040946006774902,-20.14165210723877,25.182598114013672,5.040946006774902,20.14165210723877,3,"['Ġdra', 'ick', 'le']",student,animate
