lemma,delta_p_object,behavior_status,mean_p_object_t_plus,mean_p_object_t_minus,delta_coord_calibrated,projection_status,mean_coord_calibrated_t_plus,mean_coord_calibrated_t_minus,delta_coord_raw,probe_form_token_count,probe_form_token_pieces,probe_subject,probe_subject_animacy
bekup,0.8631028011441231,moves,0.9760538935661316,0.11295109242200851,9.633576393127441,aligns,11.496335983276367,1.8627595901489258,-9.633576393127441,2,"['Ġbek', 'up']",driver,animate
bifum,0.9020120948553085,moves,0.9911128878593445,0.08910079300403595,13.071061134338379,aligns,19.216943740844727,6.145882606506348,-13.071061134338379,2,"['Ġbif', 'um']",shirt,inanimate
bipum,0.6658147871494293,moves,0.9396263957023621,0.27381160855293274,6.175020217895508,aligns,12.684638023376465,6.509617805480957,-6.175020217895508,2,"['Ġbip', 'um']",paper,inanimate
bufen,0.8233535587787628,moves,0.9970059990882874,0.17365244030952454,14.920530796051025,aligns,21.913543701171875,6.99301290512085,-14.920530796051025,2,"['Ġbuf', 'en']",student,animate
bufum,0.5017023384571075,moves,0.9981064796447754,0.49640414118766785,9.420252799987793,aligns,18.109384536743164,8.689131736755371,-9.420252799987793,2,"['Ġbuf', 'um']",student,animate
buviv,0.6317179799079895,moves,0.9872459173202515,0.35552793741226196,6.797658920288086,aligns,14.314852714538574,7.517193794250488,-6.797658920288086,2,"['Ġbu', 'viv']",chef,animate
dezip,0.9066770286299288,moves,0.9130623936653137,0.006385365035384893,14.086284041404724,aligns,15.921384811401367,1.835100769996643,-14.086284041404724,2,"['Ġde', 'zip']",box,inanimate
difev,0.8431560471653938,moves,0.903806209564209,0.060650162398815155,6.737092137336731,aligns,8.704076766967773,1.9669846296310425,-6.737092137336731,2,"['Ġdif', 'ev']",box,inanimate
dizop,0.7989932000637054,moves,0.9983715415000916,0.1993783414363861,15.497661590576172,aligns,22.799846649169922,7.30218505859375,-15.497661590576172,2,"['Ġdiz', 'op']",student,animate
dizup,0.9795104246586561,moves,0.990312397480011,0.010801972821354866,21.046637773513794,aligns,19.819568634033203,-1.2270691394805908,-21.046637773513794,2,"['Ġdiz', 'up']",driver,animate
dokip,0.9274898935109377,moves,0.9564207792282104,0.02893088571727276,9.739925384521484,aligns,11.510622024536133,1.7706966400146484,-9.739925384521484,2,"['Ġdo', 'kip']",box,inanimate
draicken,0.8739852234721184,moves,0.9812867641448975,0.10730154067277908,16.18485426902771,aligns,19.66383171081543,3.4789774417877197,-16.18485426902771,2,"['Ġdra', 'icken']",student,animate
draickle,0.9248346611857414,moves,0.9936714768409729,0.06883681565523148,18.9196515083313,aligns,22.7250919342041,3.8054404258728027,-18.9196515083313,3,"['Ġdra', 'ick', 'le']",student,animate
draickop,0.7792080938816071,moves,0.9967701435089111,0.21756204962730408,11.96653699874878,aligns,19.26610565185547,7.2995686531066895,-11.96653699874878,3,"['Ġdra', 'ick', 'op']",chef,animate
droocken,0.9264370575547218,moves,0.9698541760444641,0.04341711848974228,17.007540464401245,aligns,20.84970474243164,3.8421642780303955,-17.007540464401245,3,"['Ġdro', 'ock', 'en']",box,inanimate
droockip,0.8276681080460548,moves,0.8839890360832214,0.056320928037166595,9.494541883468628,aligns,13.45699691772461,3.9624550342559814,-9.494541883468628,3,"['Ġdro', 'ock', 'ip']",shirt,inanimate
droockle,0.9479688629508018,moves,0.9825724363327026,0.03460357338190079,20.825642466545105,aligns,21.597469329833984,0.7718268632888794,-20.825642466545105,3,"['Ġdro', 'ock', 'le']",paper,inanimate
fazup,0.850570023059845,moves,0.9963262677192688,0.14575624465942383,12.350396156311035,aligns,16.17367935180664,3.8232831954956055,-12.350396156311035,2,"['Ġfaz', 'up']",chef,animate
fegom,0.6892314553260803,moves,0.9913050532341003,0.30207359790802,8.317596912384033,aligns,15.530435562133789,7.212838649749756,-8.317596912384033,2,"['Ġfe', 'gom']",driver,animate
felev,0.708584189414978,moves,0.9874510765075684,0.27886688709259033,6.953878879547119,aligns,13.482385635375977,6.528506755828857,-6.953878879547119,2,"['Ġfe', 'lev']",paper,inanimate
feviv,0.8584465906023979,moves,0.9762851595878601,0.11783856898546219,6.648770332336426,aligns,12.075143814086914,5.426373481750488,-6.648770332336426,2,"['Ġfe', 'viv']",shirt,inanimate
fifum,0.23162341117858887,moves,0.9919739365577698,0.7603505253791809,4.593181610107422,aligns,15.114141464233398,10.520959854125977,-4.593181610107422,2,"['Ġfif', 'um']",driver,animate
fifup,0.9671149253845215,moves,0.9942036867141724,0.02708876132965088,24.025373816490173,aligns,24.761676788330078,0.7363029718399048,-24.025373816490173,2,"['Ġfif', 'up']",shirt,inanimate
gefle,0.7743303775787354,moves,0.9223358035087585,0.1480054259300232,9.708551406860352,aligns,15.066481590270996,5.3579301834106445,-9.708551406860352,2,"['Ġgef', 'le']",paper,inanimate
givom,0.9222684353590012,moves,0.981990396976471,0.05972196161746979,9.891727924346924,aligns,15.86063289642334,5.968904972076416,-9.891727924346924,2,"['Ġgiv', 'om']",box,inanimate
gleeshet,0.9381859274581075,moves,0.9476453065872192,0.009459379129111767,14.660375595092773,aligns,10.355037689208984,-4.305337905883789,-14.660375595092773,3,"['Ġgle', 'es', 'het']",paper,inanimate
gleeshev,0.6120779514312744,moves,0.966913640499115,0.3548356890678406,5.8962836265563965,aligns,12.7332763671875,6.8369927406311035,-5.8962836265563965,3,"['Ġgle', 'es', 'hev']",student,animate
gleeshiv,0.5652878880500793,moves,0.868763267993927,0.30347537994384766,2.1939830780029297,aligns,10.571382522583008,8.377399444580078,-2.1939830780029297,3,"['Ġgle', 'esh', 'iv']",paper,inanimate
gleeshle,0.8368085622787476,moves,0.9977421164512634,0.16093355417251587,20.124919414520264,aligns,23.546680450439453,3.4217610359191895,-20.124919414520264,3,"['Ġgle', 'esh', 'le']",paper,inanimate
gloocket,0.8513886630535126,moves,0.9927762746810913,0.14138761162757874,12.624016284942627,aligns,15.580387115478516,2.9563708305358887,-12.624016284942627,2,"['Ġglo', 'ocket']",student,animate
gufen,0.9076956659555435,moves,0.9747589230537415,0.06706325709819794,14.426786661148071,aligns,16.850862503051758,2.4240758419036865,-14.426786661148071,2,"['Ġgu', 'fen']",shirt,inanimate
kekom,0.9562000781297684,moves,0.9722065925598145,0.01600651443004608,12.146800994873047,aligns,12.53979778289795,0.39299678802490234,-12.146800994873047,2,"['Ġke', 'kom']",driver,animate
kloolen,0.8624333962798119,moves,0.984896183013916,0.12246278673410416,10.750858306884766,aligns,19.01453971862793,8.263681411743164,-10.750858306884766,3,"['Ġkl', 'ool', 'en']",shirt,inanimate
kloolle,0.9268759675323963,moves,0.9732469916343689,0.04637102410197258,13.95779538154602,aligns,16.448997497558594,2.4912021160125732,-13.95779538154602,3,"['Ġkl', 'ool', 'le']",shirt,inanimate
kloolup,0.9242858290672302,moves,0.9894574880599976,0.06517165899276733,15.07419204711914,aligns,16.2946720123291,1.220479965209961,-15.07419204711914,3,"['Ġkl', 'ool', 'up']",student,animate
kloozen,0.9106157869100571,moves,0.9962559938430786,0.08564020693302155,19.295198917388916,aligns,23.097400665283203,3.802201747894287,-19.295198917388916,3,"['Ġkl', 'oo', 'zen']",box,inanimate
mexiv,0.9292444810271263,moves,0.9727089405059814,0.04346445947885513,9.753139972686768,aligns,13.669425964355469,3.916285991668701,-9.753139972686768,2,"['Ġme', 'xiv']",driver,animate
mulom,0.8327945023775101,moves,0.9752556681632996,0.1424611657857895,6.310632228851318,aligns,13.435587882995605,7.124955654144287,-6.310632228851318,2,"['Ġmul', 'om']",chef,animate
navip,0.8032476902008057,moves,0.9520725011825562,0.1488248109817505,6.5828773975372314,aligns,9.90070629119873,3.317828893661499,-6.5828773975372314,2,"['Ġnav', 'ip']",box,inanimate
negiv,0.7634806483983994,moves,0.8934482336044312,0.1299675852060318,4.52385139465332,aligns,12.268762588500977,7.744911193847656,-4.52385139465332,2,"['Ġneg', 'iv']",paper,inanimate
nexev,0.8224988356232643,moves,0.9446350932121277,0.12213625758886337,6.4749369621276855,aligns,10.553088188171387,4.078151226043701,-6.4749369621276855,2,"['Ġnex', 'ev']",student,animate
nexip,0.695957601070404,moves,0.9917124509811401,0.2957548499107361,8.136567115783691,aligns,13.78824520111084,5.651678085327148,-8.136567115783691,2,"['Ġnex', 'ip']",driver,animate
noviv,0.6923951581120491,moves,0.759105920791626,0.06671076267957687,3.6173863410949707,aligns,9.997281074523926,6.379894733428955,-3.6173863410949707,2,"['Ġnov', 'iv']",paper,inanimate
nudup,0.9443230479955673,moves,0.9949199557304382,0.05059690773487091,13.816442966461182,aligns,18.805374145507812,4.988931179046631,-13.816442966461182,2,"['Ġnud', 'up']",shirt,inanimate
pefet,0.8546080589294434,moves,0.9816675186157227,0.1270594596862793,8.970267295837402,aligns,14.846152305603027,5.875885009765625,-8.970267295837402,2,"['Ġpe', 'fet']",shirt,inanimate
pleeshop,0.9292077235877514,moves,0.97616046667099,0.0469527430832386,17.57767391204834,aligns,20.078319549560547,2.500645637512207,-17.57767391204834,3,"['Ġple', 'es', 'hop']",box,inanimate
sezip,0.618366152048111,moves,0.999005138874054,0.380638986825943,15.771910667419434,aligns,25.345867156982422,9.573956489562988,-15.771910667419434,2,"['Ġse', 'zip']",student,animate
skaickle,0.9161371439695358,moves,0.9603853821754456,0.04424823820590973,15.125325679779053,aligns,19.47049903869629,4.345173358917236,-15.125325679779053,3,"['Ġska', 'ick', 'le']",box,inanimate
skaickop,0.3387959599494934,moves,0.9895327091217041,0.6507367491722107,7.932991027832031,aligns,18.912639617919922,10.97964859008789,-7.932991027832031,3,"['Ġska', 'ick', 'op']",student,animate
skaickum,0.5609927177429199,moves,0.6924400925636292,0.13144737482070923,2.6334872245788574,aligns,9.554476737976074,6.920989513397217,-2.6334872245788574,3,"['Ġska', 'ick', 'um']",shirt,inanimate
sugop,0.3024468421936035,moves,0.9989334344863892,0.6964865922927856,11.134568214416504,aligns,20.6658992767334,9.531331062316895,-11.134568214416504,2,"['Ġsug', 'op']",driver,animate
tekom,0.9006194621324539,moves,0.9730321764945984,0.07241271436214447,8.403276801109314,aligns,9.81119441986084,1.4079176187515259,-8.403276801109314,2,"['Ġte', 'kom']",chef,animate
texev,0.6535585820674896,moves,0.9461331367492676,0.29257455468177795,4.757169246673584,aligns,8.823954582214355,4.0667853355407715,-4.757169246673584,2,"['Ġtex', 'ev']",student,animate
texom,0.5480010807514191,moves,0.7999018430709839,0.2519007623195648,2.165489673614502,aligns,7.747474670410156,5.581984996795654,-2.165489673614502,2,"['Ġtex', 'om']",paper,inanimate
tobiv,0.5878166854381561,moves,0.771334707736969,0.18351802229881287,2.559234619140625,aligns,8.3159818649292,5.756747245788574,-2.559234619140625,2,"['Ġtob', 'iv']",paper,inanimate
