lemma,delta_p_object,behavior_status,mean_p_object_t_plus,mean_p_object_t_minus,delta_coord_calibrated,projection_status,mean_coord_calibrated_t_plus,mean_coord_calibrated_t_minus,delta_coord_raw,probe_form_token_count,probe_form_token_pieces,probe_subject,probe_subject_animacy
bekup,0.8631028011441231,moves,0.9760538935661316,0.11295109242200851,11.383795261383057,aligns,11.407181739807129,0.023386478424072266,-11.383795261383057,2,"['Ġbek', 'up']",driver,animate
bifum,0.9020120948553085,moves,0.9911128878593445,0.08910079300403595,14.000624656677246,aligns,22.09081268310547,8.090188026428223,-14.000624656677246,2,"['Ġbif', 'um']",shirt,inanimate
bipum,0.6658147871494293,moves,0.9396263957023621,0.27381160855293274,6.283534049987793,aligns,15.224197387695312,8.94066333770752,-6.283534049987793,2,"['Ġbip', 'um']",paper,inanimate
bufen,0.8233535587787628,moves,0.9970059990882874,0.17365244030952454,15.707159996032715,aligns,24.79300308227539,9.085843086242676,-15.707159996032715,2,"['Ġbuf', 'en']",student,animate
bufum,0.5017023384571075,moves,0.9981064796447754,0.49640414118766785,10.034417152404785,aligns,20.972965240478516,10.93854808807373,-10.034417152404785,2,"['Ġbuf', 'um']",student,animate
buviv,0.6317179799079895,moves,0.9872459173202515,0.35552793741226196,7.3975725173950195,aligns,16.0958251953125,8.69825267791748,-7.3975725173950195,2,"['Ġbu', 'viv']",chef,animate
dezip,0.9066770286299288,moves,0.9130623936653137,0.006385365035384893,15.613455295562744,aligns,17.62464141845703,2.011186122894287,-15.613455295562744,2,"['Ġde', 'zip']",box,inanimate
difev,0.8431560471653938,moves,0.903806209564209,0.060650162398815155,8.238092064857483,aligns,9.500502586364746,1.2624105215072632,-8.238092064857483,2,"['Ġdif', 'ev']",box,inanimate
dizop,0.7989932000637054,moves,0.9983715415000916,0.1993783414363861,16.534131050109863,aligns,25.971057891845703,9.43692684173584,-16.534131050109863,2,"['Ġdiz', 'op']",student,animate
dizup,0.9795104246586561,moves,0.990312397480011,0.010801972821354866,23.173566341400146,aligns,21.875091552734375,-1.2984747886657715,-23.173566341400146,2,"['Ġdiz', 'up']",driver,animate
