split,pair_key,regime,subtask,template_id,context_id,subject,subject_class,direction,clean_side,corrupt_side,objective_clean_side,objective_corrupt_side,site,anchor_token_index,clean_verb,corrupt_verb,clean_source_zipf_regime,corrupt_source_zipf_regime,clean_inventory_source,corrupt_inventory_source,clean_suffix_lp,corrupt_suffix_lp,patched_suffix_lp,suffix_effect,signed_suffix_effect,clean_minus_corrupt_suffix_lp,signed_clean_minus_corrupt_suffix_lp,normalized_suffix_effect,clean_full_lp,corrupt_full_lp,patched_full_lp,full_effect,signed_full_effect,corrupt_prefix_lp,patched_prefix_lp,moves_toward_objective_clean
train,head|causative|object_frame_overlay_subject_tomorrow_s00|overlay_subject_tomorrow_s00_teacher|14|shrink|chat,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_16,6,chat,shrink,head,head,freqblimp_curated,freqblimp_curated,-21.624967575073242,-13.784454345703125,-13.788002014160156,-0.00354766845703125,0.00354766845703125,-7.840513229370117,7.840513229370117,0.00045247911115587247,-48.34349822998047,-42.78424072265625,-42.787784576416016,-0.003543853759765625,0.003543853759765625,-28.999784469604492,-28.999784469604492,1
train,head|causative|object_frame_overlay_subject_tomorrow_s00|overlay_subject_tomorrow_s00_teacher|15|open|exist,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_16,6,exist,open,head,head,freqblimp_curated,freqblimp_curated,-20.507495880126953,-14.061144828796387,-13.88408374786377,0.1770610809326172,-0.1770610809326172,-6.446351051330566,6.446351051330566,-0.027466869167181128,-49.85102844238281,-37.65467834472656,-37.47761917114258,0.17705917358398438,-0.17705917358398438,-23.59353256225586,-23.59353256225586,0
train,head|causative|object_frame_overlay_subject_tomorrow_s00|overlay_subject_tomorrow_s00_teacher|16|shut|arrive,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_16,6,arrive,shut,head,head,freqblimp_curated,freqblimp_curated,-21.448726654052734,-17.520925521850586,-17.493253707885742,0.02767181396484375,-0.02767181396484375,-3.9278011322021484,3.9278011322021484,-0.007045115837962336,-43.354759216308594,-44.42695999145508,-44.39928436279297,0.027675628662109375,-0.027675628662109375,-26.906034469604492,-26.906034469604492,0
train,head|causative|object_frame_overlay_subject_tomorrow_s00|overlay_subject_tomorrow_s00_teacher|17|chip|vanish,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_16,6,vanish,chip,head,head,freqblimp_curated,freqblimp_curated,-17.075637817382812,-14.314166069030762,-14.216412544250488,0.09775352478027344,-0.09775352478027344,-2.761471748352051,2.761471748352051,-0.03539906748588295,-45.35667037963867,-44.12644958496094,-44.02869415283203,0.09775543212890625,-0.09775543212890625,-29.812284469604492,-29.812284469604492,0
train,head|causative|object_frame_overlay_subject_tomorrow_s00|overlay_subject_tomorrow_s00_teacher|18|close|testify,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_16,6,testify,close,head,head,freqblimp_curated,freqblimp_curated,-21.581512451171875,-15.416220664978027,-15.202629089355469,0.2135915756225586,-0.2135915756225586,-6.165291786193848,6.165291786193848,-0.034644195770403216,-48.925045013427734,-40.69725036621094,-40.483665466308594,0.21358489990234375,-0.21358489990234375,-25.28103256225586,-25.28103256225586,0
train,head|causative|object_frame_overlay_subject_tomorrow_s00|overlay_subject_tomorrow_s00_teacher|19|worry|lie,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_16,6,lie,worry,head,head,freqblimp_curated,freqblimp_curated,-18.864229202270508,-21.337871551513672,-21.343908309936523,-0.0060367584228515625,0.0060367584228515625,2.473642349243164,-2.473642349243164,-0.0024404330014395855,-45.457763671875,-48.6189079284668,-48.624942779541016,-0.00603485107421875,0.00603485107421875,-27.281034469604492,-27.281034469604492,1
train,head|causative|object_frame_overlay_subject_tomorrow_s00|overlay_subject_tomorrow_s00_teacher|20|drop|cry,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_16,6,cry,drop,head,head,freqblimp_curated,freqblimp_curated,-18.82221221923828,-11.990774154663086,-11.893791198730469,0.09698295593261719,-0.09698295593261719,-6.831438064575195,6.831438064575195,-0.014196565205725532,-45.60324478149414,-35.95930480957031,-35.86232376098633,0.09698104858398438,-0.09698104858398438,-23.96853256225586,-23.96853256225586,0
train,head|causative|object_frame_overlay_subject_tomorrow_s00|overlay_subject_tomorrow_s00_teacher|21|stop|cough,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_16,6,cough,stop,head,head,freqblimp_curated,freqblimp_curated,-16.151996612548828,-16.544958114624023,-16.580501556396484,-0.03554344177246094,0.03554344177246094,0.3929615020751953,-0.3929615020751953,-0.09045018808397039,-44.55802917480469,-40.200992584228516,-40.236534118652344,-0.035541534423828125,0.035541534423828125,-23.65603256225586,-23.65603256225586,1
train,head|causative|object_frame_overlay_subject_tomorrow_s01|overlay_subject_tomorrow_s01_doctor|0|drop|disagree,head,causative,object_frame_overlay_subject_tomorrow_s01,overlay_subject_tomorrow_s01_doctor,doctor,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_16,6,disagree,drop,head,head,freqblimp_curated,freqblimp_curated,-23.66678237915039,-14.415412902832031,-14.358182907104492,0.05722999572753906,-0.05722999572753906,-9.25136947631836,9.25136947631836,-0.00618611070220861,-49.245216369628906,-36.90010070800781,-36.842872619628906,0.05722808837890625,-0.05722808837890625,-22.48468780517578,-22.48468780517578,0
train,head|causative|object_frame_overlay_subject_tomorrow_s01|overlay_subject_tomorrow_s01_doctor|2|crash|laugh,head,causative,object_frame_overlay_subject_tomorrow_s01,overlay_subject_tomorrow_s01_doctor,doctor,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_16,6,laugh,crash,head,head,freqblimp_curated,freqblimp_curated,-20.428144454956055,-16.82062339782715,-16.810062408447266,0.010560989379882812,-0.010560989379882812,-3.6075210571289062,3.6075210571289062,-0.00292749209571847,-44.6003303527832,-44.27406311035156,-44.26350021362305,0.010562896728515625,-0.010562896728515625,-27.45343780517578,-27.45343780517578,0
