split,regime,subtask,direction,n,mean_suffix_effect,mean_signed_suffix_effect,sem_signed_suffix_effect,mean_normalized_suffix_effect,move_success_rate,mean_clean_minus_corrupt_suffix_lp,mean_signed_clean_minus_corrupt_suffix_lp,mean_signed_full_effect
eval,head,causative,bad_to_good,115,0.005399148360542629,-0.005399148360542629,0.006164249547148676,-0.00666465934423296,0.4956521739130435,-3.6197681758714757,3.6197681758714757,-0.0053991566533627714
eval,head,causative,good_to_bad,115,0.007721801426099694,0.007721801426099694,0.009053438836665643,0.02942942174992583,0.5652173913043478,3.6197681758714757,3.6197681758714757,0.007722340459408968
eval,head,inchoative,bad_to_good,62,-0.02189236687075707,0.02189236687075707,0.009237145713401614,-0.20841652387013443,0.5806451612903226,-1.8837096152767059,1.8837096152767059,0.02189248608004662
eval,head,inchoative,good_to_bad,62,0.024427140912702008,0.024427140912702008,0.010714426978173876,0.677418418872358,0.6612903225806451,1.8837096152767059,1.8837096152767059,0.024427044776178176
eval,low,causative,bad_to_good,280,0.0012233853340148926,-0.0012233853340148926,0.0034318803551530385,-0.013234072053801683,0.4928571428571429,-3.6306143522262575,3.6306143522262575,-0.0012236050197056362
eval,low,causative,good_to_bad,280,0.006875644411359514,0.006875644411359514,0.005363916076324699,0.01904613282251373,0.525,3.6306143522262575,3.6306143522262575,0.006875583103724888
eval,low,inchoative,bad_to_good,280,-0.009631630778312684,0.009631630778312684,0.0035884065737781623,0.013630433091949343,0.5357142857142857,-1.6275277376174926,1.6275277376174926,0.009631572450910295
eval,low,inchoative,good_to_bad,280,0.018345650604793002,0.018345650604793002,0.004465178331657576,-0.03190892267560186,0.6214285714285714,1.6275277376174926,1.6275277376174926,0.018345710209437777
train,head,causative,bad_to_good,325,0.00027056033794696516,-0.00027056033794696516,0.004035043245878013,-0.0004234312065490682,0.5015384615384615,-3.859241421039288,3.859241421039288,-0.00027052659254807695
train,head,causative,good_to_bad,325,0.0223406982421875,0.0223406982421875,0.005977514262641779,0.009882178156176787,0.5815384615384616,3.859241421039288,3.859241421039288,0.022340663029597356
train,head,inchoative,bad_to_good,258,-0.017330539318942285,0.017330539318942285,0.004276903016824464,0.037356765559236366,0.5852713178294574,-1.9648544224657754,1.9648544224657754,0.017330480176349018
train,head,inchoative,good_to_bad,258,0.013142608856970026,0.013142608856970026,0.005889485307696396,-0.00503284891269181,0.5697674418604651,1.9648544224657754,1.9648544224657754,0.013142489647680475
