split,regime,subtask,direction,n,mean_suffix_effect,mean_signed_suffix_effect,sem_signed_suffix_effect,mean_normalized_suffix_effect,move_success_rate,mean_clean_minus_corrupt_suffix_lp,mean_signed_clean_minus_corrupt_suffix_lp,mean_signed_full_effect
eval,head,causative,bad_to_good,115,0.010681011365807574,0.008380665986434273,0.03653424225139589,-0.04869306933283018,0.5130434782608696,-3.6197681758714757,-0.204064593107804,0.0083806908648947
eval,head,causative,good_to_bad,115,-0.002613241776176121,0.009833053920579994,0.03008178035007348,0.027669605903289107,0.5130434782608696,3.6197681758714757,0.8296521062436311,0.009833161727241848
eval,head,inchoative,bad_to_good,62,0.05466445030704621,0.007028933494321762,0.06767330131544413,-4.2438975314759135,0.5,-1.8837096152767059,0.4789811795757663,0.0070285489482264365
eval,head,inchoative,good_to_bad,62,-0.10289212965196179,0.03466863016928396,0.07156084935482267,-4.554422052051311,0.5483870967741935,1.8837096152767059,0.4064884493427892,0.034668522496377266
eval,low,causative,bad_to_good,280,0.04580345664705549,-0.007392183371952602,0.013202945851173563,0.062078131172007465,0.4642857142857143,-3.6306143522262575,0.02836235591343471,-0.007392147609165737
eval,low,causative,good_to_bad,280,-0.033969088963099886,0.00117556027003697,0.015957824750526775,0.09341581276828771,0.5071428571428571,3.6306143522262575,0.16717449596949985,0.0011754035949707031
eval,low,inchoative,bad_to_good,280,0.1920934660094125,0.012877483878816877,0.021096566510874323,-0.1825085683428792,0.525,-1.6275277376174926,-0.09810049533843994,0.012877457482474191
eval,low,inchoative,good_to_bad,280,-0.2832012627805982,0.029131944690431868,0.029274378535989805,-0.15580601564717123,0.5678571428571428,1.6275277376174926,0.06571721519742693,0.029131739480154854
train,head,causative,bad_to_good,325,0.0540528942988469,0.1533091163635254,0.021749273726134315,-0.07302112787757153,0.6492307692307693,-3.859241421039288,-0.29220816979041464,0.15330897404597355
train,head,causative,good_to_bad,325,-0.017634535569411056,0.08248852069561298,0.018688460698478637,-0.03411997165891807,0.56,3.859241421039288,0.15275586641751804,0.0824884502704327
train,head,inchoative,bad_to_good,258,0.07075953760812449,0.25837682661160016,0.033380272285533315,-0.2597752867306551,0.6705426356589147,-1.9648544224657754,-0.15783334425253462,0.2583768090536428
train,head,inchoative,good_to_bad,258,-0.15408032531886137,0.3550733346347661,0.039966710463034995,-1.1914186732947958,0.6937984496124031,1.9648544224657754,0.16990850784981898,0.35507328565730606
