epoch,train_loss,train_n
1,0.049673351075782156,1166
2,0.034037823767927904,1166
3,0.019826310020764255,1166
4,0.022996077718071974,1166
5,0.020847653902407882,1166
6,0.018870218539134686,1166
7,0.020373597490474644,1166
8,0.014209864727542121,1166
9,0.017050926568081694,1166
10,0.02049500757766353,1166
11,0.02079507198024383,1166
12,0.019811395641829307,1166
13,0.014073695062283802,1166
14,0.015746877181451402,1166
15,0.01861465689048998,1166
16,0.017732420993810494,1166
17,0.014767912096225322,1166
18,0.01976019811229844,1166
19,0.017288155964073303,1166
20,0.020495139755904484,1166
21,0.018546858874348704,1166
22,0.014772784618438685,1166
23,0.02114858351540075,1166
24,0.012447868065775162,1166
25,0.019914241765961516,1166
26,0.012615067399370301,1166
27,0.016229490377234805,1166
28,0.013879757859332547,1166
29,0.017428540870361827,1166
30,0.017732120035499014,1166
