split,regime,subtask,label_column,n_good,n_bad,mean_coord_good,mean_coord_bad,mean_good_minus_bad,auc_good_gt_bad,orientation_free_auc,best_threshold_acc,best_threshold,best_threshold_direction_for_good
eval,head,causative,side,115,115,-11.143117681793544,6.327949527035589,-17.471067208829133,0.0003780718336483932,0.9996219281663516,0.991304347826087,-2.912386655807495,positive_low
eval,head,inchoative,side,62,62,-11.880587745097376,-23.514724577626875,11.6341368325295,0.985952133194589,0.985952133194589,0.967741935483871,-18.024417877197266,positive_high
eval,low,causative,side,280,280,-12.969409102201462,2.2051876902580263,-15.17459679245949,0.031058673469387756,0.9689413265306123,0.9375,-6.204221725463867,positive_low
eval,low,inchoative,side,280,280,-12.696828620774406,-22.2499933719635,9.553164751189096,0.9028826530612245,0.9028826530612245,0.825,-17.78969669342041,positive_high
train,head,causative,side,325,325,-11.181817843914033,6.908163562371181,-18.08998140628521,0.0002650887573964497,0.9997349112426035,0.9938461538461538,-2.386611819267273,positive_low
train,head,inchoative,side,258,258,-11.850006617778956,-23.646023875983186,11.79601725820423,0.9843458926747191,0.9843458926747191,0.9418604651162791,-18.607357025146484,positive_high
