epoch,train_loss,train_n
1,0.05512881231933227,1166
2,0.0607624586090912,1166
3,0.04707047879872812,1166
4,0.05788458572156682,1166
5,0.052094551008428316,1166
6,0.04669819679530577,1166
7,0.05401183969715025,1166
8,0.03867002215861833,1166
9,0.04831133016209816,1166
10,0.05179029845674147,1166
11,0.05171642566976772,1166
12,0.04715078784549037,1166
13,0.03779918338271181,1166
14,0.04308682912656132,1166
15,0.04654843795335313,1166
16,0.04678519015275517,1166
17,0.04390747754097362,1166
18,0.04891568984775237,1166
19,0.046593282365369554,1166
20,0.05188068653928918,1166
21,0.048381562014853205,1166
22,0.03952027130536544,1166
23,0.05522077038842629,1166
24,0.03843141841106308,1166
25,0.05040436535258977,1166
26,0.03761090295477954,1166
27,0.0440750777921887,1166
28,0.03629250160584587,1166
29,0.0447119057544317,1166
30,0.04593732352783875,1166
