epoch,train_loss,train_n
1,0.7065100221036842,1166
2,0.6965313924422191,1166
3,0.6860651688755683,1166
4,0.682617337022801,1166
5,0.6817513588771198,1166
6,0.6761172186346855,1166
7,0.66508633164149,1166
8,0.6679559012117762,1166
9,0.6606512230215514,1166
10,0.6632951220967144,1166
11,0.6567127186274652,1166
12,0.6547483160810651,1166
13,0.6551527879352635,1166
14,0.6551439221021855,1166
15,0.6516451196134806,1166
16,0.6505701652317473,1166
17,0.6494029520613047,1166
18,0.6487945356561226,1166
19,0.6472081841060677,1166
20,0.6498734815554186,1166
21,0.6499946009029042,1166
22,0.6432538843788782,1166
23,0.6462050848360945,1166
24,0.6491141404132287,1166
25,0.6472386771471177,1166
26,0.6433135367175932,1166
27,0.6429825877039143,1166
28,0.6451167212751268,1166
29,0.6425140315529413,1166
30,0.6440795899766592,1166
