epoch,train_loss,train_n
1,0.07124651384575446,1166
2,0.0646502933652447,1166
3,0.05078133015364639,1166
4,0.06481394910862219,1166
5,0.05707802853325788,1166
6,0.052389480279819274,1166
7,0.059042058514884796,1166
8,0.04365284865207676,1166
9,0.05368580024816834,1166
10,0.05837501211476865,1166
11,0.05725556055697298,1166
12,0.052259835745263876,1166
13,0.04322524869808125,1166
14,0.04843047431727638,1166
15,0.051413311242041265,1166
16,0.05424275919379695,1166
17,0.049549267259881694,1166
18,0.053898015891610744,1166
19,0.05190876456086187,1166
20,0.057568565017813704,1166
21,0.05442436295441683,1166
22,0.04485296597704291,1166
23,0.06181021011154939,1166
24,0.044270589854648115,1166
25,0.05790681511125372,1166
26,0.04392711208555384,1166
27,0.0488675351499853,1166
28,0.041854037807401316,1166
29,0.04997915941439122,1166
30,0.051405799919403895,1166
