epoch,train_loss,train_n
1,0.08726144308896454,1166
2,0.07659216335771755,1166
3,0.06220941596199626,1166
4,0.07820713332347815,1166
5,0.067313200235247,1166
6,0.06482573621067671,1166
7,0.07112263293863365,1166
8,0.05309375409695031,1166
9,0.06484066237061321,1166
10,0.07051489247475619,1166
11,0.06807483945243176,1166
12,0.06267710938158334,1166
13,0.05352742000647515,1166
14,0.05853962943622424,1166
15,0.06135657269069941,1166
16,0.0665620951713614,1166
17,0.060099353193102556,1166
18,0.06521863213142837,1166
19,0.06278686305926554,1166
20,0.06934445637548231,1166
21,0.06594101520092266,1166
22,0.05432162051668988,1166
23,0.0745889424389519,1166
24,0.055069810682891726,1166
25,0.07063172873601599,1166
26,0.054126980153390084,1166
27,0.058907607962468425,1166
28,0.05138189762936167,1166
29,0.0603077838758061,1166
30,0.06228674368335391,1166
