split,pair_key,regime,subtask,template_id,context_id,subject,subject_class,direction,clean_side,corrupt_side,objective_clean_side,objective_corrupt_side,site,anchor_token_index,clean_verb,corrupt_verb,clean_source_zipf_regime,corrupt_source_zipf_regime,clean_inventory_source,corrupt_inventory_source,clean_suffix_lp,corrupt_suffix_lp,patched_suffix_lp,suffix_effect,signed_suffix_effect,clean_minus_corrupt_suffix_lp,signed_clean_minus_corrupt_suffix_lp,normalized_suffix_effect,clean_full_lp,corrupt_full_lp,patched_full_lp,full_effect,signed_full_effect,corrupt_prefix_lp,patched_prefix_lp,moves_toward_objective_clean
train,head|causative|object_frame_overlay_subject_tomorrow_s00|overlay_subject_tomorrow_s00_teacher|2|grow|disagree,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_20,6,disagree,grow,head,head,freqblimp_curated,freqblimp_curated,-22.425012588500977,-16.099266052246094,-16.016986846923828,0.08227920532226562,-0.08227920532226562,-6.325746536254883,6.325746536254883,-0.01300703479829568,-51.39354705810547,-44.59905242919922,-44.51676940917969,0.08228302001953125,-0.08228302001953125,-28.499784469604492,-28.499784469604492,0
train,head|causative|object_frame_overlay_subject_tomorrow_s00|overlay_subject_tomorrow_s00_teacher|3|soak|compete,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_20,6,compete,soak,head,head,freqblimp_curated,freqblimp_curated,-17.93947982788086,-11.532254219055176,-11.477728843688965,0.05452537536621094,-0.05452537536621094,-6.407225608825684,6.407225608825684,-0.008509982119422254,-46.84551239013672,-41.71953582763672,-41.66501235961914,0.054523468017578125,-0.054523468017578125,-30.187284469604492,-30.187284469604492,0
train,head|causative|object_frame_overlay_subject_tomorrow_s00|overlay_subject_tomorrow_s00_teacher|4|slow|react,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_20,6,react,slow,head,head,freqblimp_curated,freqblimp_curated,-18.74061393737793,-17.583826065063477,-17.625415802001953,-0.04158973693847656,0.04158973693847656,-1.1567878723144531,1.1567878723144531,0.03595277745717159,-46.39664840698242,-46.05236053466797,-46.09394836425781,-0.04158782958984375,0.04158782958984375,-28.468534469604492,-28.468534469604492,1
train,head|causative|object_frame_overlay_subject_tomorrow_s00|overlay_subject_tomorrow_s00_teacher|5|move|die,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_20,6,die,move,head,head,freqblimp_curated,freqblimp_curated,-22.845260620117188,-13.459251403808594,-13.476118087768555,-0.016866683959960938,0.016866683959960938,-9.386009216308594,9.386009216308594,0.001797002705969471,-47.56379699707031,-37.99028778076172,-38.00714874267578,-0.0168609619140625,0.0168609619140625,-24.53103256225586,-24.53103256225586,1
train,head|causative|object_frame_overlay_subject_tomorrow_s00|overlay_subject_tomorrow_s00_teacher|8|fade|disappear,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_20,6,disappear,fade,head,head,freqblimp_curated,freqblimp_curated,-17.131874084472656,-16.603073120117188,-16.590457916259766,0.012615203857421875,-0.012615203857421875,-0.5288009643554688,0.5288009643554688,-0.023856242154924902,-42.60041046142578,-45.94660949707031,-45.933990478515625,0.0126190185546875,-0.0126190185546875,-29.343534469604492,-29.343534469604492,0
train,head|causative|object_frame_overlay_subject_tomorrow_s00|overlay_subject_tomorrow_s00_teacher|9|dim|laugh,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_20,6,laugh,dim,head,head,freqblimp_curated,freqblimp_curated,-23.053245544433594,-16.510589599609375,-16.49577522277832,0.014814376831054688,-0.014814376831054688,-6.542655944824219,6.542655944824219,-0.0022642756941504897,-49.70928192138672,-45.3853759765625,-45.37055969238281,0.0148162841796875,-0.0148162841796875,-28.874784469604492,-28.874784469604492,0
train,head|causative|object_frame_overlay_subject_tomorrow_s00|overlay_subject_tomorrow_s00_teacher|10|stretch|scream,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_20,6,scream,stretch,head,head,freqblimp_curated,freqblimp_curated,-20.44363784790039,-15.752595901489258,-15.719462394714355,0.033133506774902344,-0.033133506774902344,-4.691041946411133,4.691041946411133,-0.007063144425781789,-47.162174224853516,-44.09613037109375,-44.06299591064453,0.03313446044921875,-0.03313446044921875,-28.343534469604492,-28.343534469604492,0
train,head|causative|object_frame_overlay_subject_tomorrow_s00|overlay_subject_tomorrow_s00_teacher|11|bake|struggle,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_20,6,struggle,bake,head,head,freqblimp_curated,freqblimp_curated,-22.371074676513672,-16.796709060668945,-16.884769439697266,-0.08806037902832031,0.08806037902832031,-5.574365615844727,5.574365615844727,0.015797381280125422,-50.43335723876953,-43.07774353027344,-43.165802001953125,-0.0880584716796875,0.0880584716796875,-26.281034469604492,-26.281034469604492,1
train,head|causative|object_frame_overlay_subject_tomorrow_s00|overlay_subject_tomorrow_s00_teacher|12|benefit|appear,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_20,6,appear,benefit,head,head,freqblimp_curated,freqblimp_curated,-20.960731506347656,-22.270721435546875,-22.278968811035156,-0.00824737548828125,0.00824737548828125,1.3099899291992188,-1.3099899291992188,-0.006295754879064431,-45.429264068603516,-51.4267578125,-51.43500518798828,-0.00824737548828125,0.00824737548828125,-29.156034469604492,-29.156034469604492,1
train,head|causative|object_frame_overlay_subject_tomorrow_s00|overlay_subject_tomorrow_s00_teacher|13|burn|respond,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_20,6,respond,burn,head,head,freqblimp_curated,freqblimp_curated,-20.272363662719727,-13.165831565856934,-13.185229301452637,-0.019397735595703125,0.019397735595703125,-7.106532096862793,7.106532096862793,0.0027295641997123086,-46.49089813232422,-39.25936508178711,-39.27876281738281,-0.019397735595703125,0.019397735595703125,-26.093534469604492,-26.093534469604492,1
