split,regime,subtask,label_column,n_good,n_bad,mean_coord_good,mean_coord_bad,mean_good_minus_bad,auc_good_gt_bad,orientation_free_auc,best_threshold_acc,best_threshold,best_threshold_direction_for_good
eval,head,causative,side,115,115,1.5391973167657853,0.6766297828892003,0.862567533876585,0.7106994328922496,0.7106994328922496,0.691304347826087,1.419108510017395,positive_high
eval,head,inchoative,side,62,62,1.4860376033090776,1.1518371614717668,0.3342004418373108,0.5600936524453695,0.5600936524453695,0.6209677419354839,2.2855634689331055,positive_high
eval,low,causative,side,280,280,1.5197061004915409,1.4755209389009647,0.04418516159057617,0.5027933673469388,0.5027933673469388,0.5875,0.5119703412055969,positive_high
eval,low,inchoative,side,280,280,1.5930856948452337,1.3419992967907872,0.25108639805444644,0.5837882653061225,0.5837882653061225,0.5839285714285715,1.07014662027359,positive_high
train,head,causative,side,325,325,1.4900681949120302,0.7723100361915735,0.7177581587204568,0.6600047337278107,0.6600047337278107,0.6246153846153846,2.059651255607605,positive_high
train,head,inchoative,side,258,258,1.4122723228940668,0.9898601475843164,0.4224121753097504,0.6084520161048014,0.6084520161048014,0.625968992248062,1.4534732699394226,positive_high
