epoch,train_loss,train_n
1,0.704572220149212,1166
2,0.6927006518145573,1166
3,0.6853921527927981,1166
4,0.6782730235039268,1166
5,0.6738982040109193,1166
6,0.6725710553738511,1166
7,0.6718808328205684,1166
8,0.6674819620866105,1166
9,0.6639800266479342,1166
10,0.6647444294308716,1166
11,0.6641736882219592,1166
12,0.6626697409623279,1166
13,0.6635695309418144,1166
14,0.6615804524814285,1166
15,0.6569247667519551,1166
16,0.6573725275273593,1166
17,0.6570236292343401,1166
18,0.6548861172146085,1166
19,0.6548002968010321,1166
20,0.6529679229390355,1166
21,0.6513477860858878,1166
22,0.6504487055857022,1166
23,0.648264752601882,1166
24,0.6502512886123428,1166
25,0.649786922882597,1166
26,0.6481762517173335,1166
27,0.644900852804732,1166
28,0.6463044595554803,1166
29,0.6464730119061102,1166
30,0.6482339486045249,1166
