epoch,train_loss,train_n
1,0.710205696408172,1166
2,0.6987879822225554,1166
3,0.685713642559575,1166
4,0.6790960846695646,1166
5,0.6778566304651787,1166
6,0.6741985132722871,1166
7,0.6655581730512158,1166
8,0.6656549361823558,1166
9,0.6598185996555341,1166
10,0.6591248210666519,1166
11,0.6548509073298341,1166
12,0.6521994581455637,1166
13,0.6541601461877545,1166
14,0.6458475983878965,1166
15,0.6421127251347792,1166
16,0.6451901387595803,1166
17,0.6434376601187279,1166
18,0.643615588418002,1166
19,0.6382271905859379,1166
20,0.6377165152932522,1166
21,0.6346721736583252,1166
22,0.6353669425737797,1166
23,0.6340084981243566,1166
24,0.6356164063638521,1166
25,0.6312738779683056,1166
26,0.6297838582591782,1166
27,0.6283120143372649,1166
28,0.6283206195661584,1166
29,0.6286161403917735,1166
30,0.6293012841794748,1166
