epoch,train_loss,train_n
1,0.7114403416525643,1166
2,0.6935969107044704,1166
3,0.6863123518422782,1166
4,0.6820996014168087,1166
5,0.6822165892576068,1166
6,0.675074009758326,1166
7,0.6729640460239267,1166
8,0.6725519866927001,1166
9,0.6690621580768817,1166
10,0.6683091621200584,1166
11,0.6653969965709012,1166
12,0.6643624586367893,1166
13,0.6663747737072344,1166
14,0.6605526147023687,1166
15,0.6567971286192971,1166
16,0.6564315978699646,1166
17,0.6547784955076247,1166
18,0.6556640632872311,1166
19,0.6502652239329205,1166
20,0.6521008992583633,1166
21,0.6463752009651877,1166
22,0.6472280023437421,1166
23,0.6474920915596276,1166
24,0.6467069777473168,1166
25,0.6428233780746394,1166
26,0.6443252221491079,1166
27,0.6399597621444568,1166
28,0.6413513333065433,1166
29,0.641530229849022,1166
30,0.6419952511020631,1166
