epoch,train_loss
1,2.206004768136948
2,1.8407515169136108
3,1.4851981947819393
4,1.4254327014325157
5,1.511888194770094
6,1.273879772170432
7,1.4878361470228623
8,1.2118535857122865
9,1.3077431604975747
10,1.2453776125219607
11,1.2543199897876807
12,1.2323362549382544
13,1.2302379333414137
14,1.3068453279279528
15,1.1306601452145961
16,1.0992773773651274
17,1.1396274186166313
18,1.195835518458533
19,1.1947895591221158
20,1.1985951691629395
21,1.2940927304564014
22,1.0987597514712621
23,1.1323683602469308
24,1.1859831917912713
25,1.1151240815718968
26,1.2240625161027152
27,1.1085066057386852
28,1.0684023416704602
29,1.0908182782688296
30,1.116399568106447
