epoch,train_loss
1,3.2482905089855194
2,1.5289083123207092
3,1.3237008324691228
4,1.2459351574735982
5,1.02118495958192
6,0.9389511522437844
7,0.8839549741574696
8,0.8799512455505984
9,0.8827194880161967
10,0.8819147651748998
11,0.9133257180718439
12,0.7790620372896748
13,0.7849098236433097
14,0.7758176028728485
15,0.782609439854111
16,0.8309130168386868
17,0.810232049120324
18,0.8662859685719013
19,0.7470523225409644
20,0.7710462287068367
21,0.8276045231946877
22,0.7663877358926194
23,0.7645634994176882
24,0.8269225476043565
25,0.8128587352111936
26,0.9297429011868579
27,0.8331498936084765
28,0.7816258543836219
29,0.7721024136990309
30,0.776359112800232
