epoch,train_loss
1,1.5285647925579582
2,0.062174791039061414
3,0.017774355599535902
4,0.02602205480455463
5,0.006453292583996374
6,0.0016195818275842758
7,0.0009192613034331641
8,0.0007507188916195316
9,0.0006311409808635712
10,0.0005766176138958404
11,0.00048715275967278364
12,0.0004362944500582801
13,0.0004090047830709003
14,0.00037029659807176685
15,0.00034576280957107234
16,0.0003318264624024688
17,0.00030047475796582797
18,0.00027443742331659645
19,0.0002798207402879679
20,0.0002564047838993539
21,0.00024129942056459543
22,0.00024121066849959658
23,0.00020643079200307772
24,0.0002210305903186541
25,0.00020977505417160307
26,0.0001936087817112155
27,0.00019046000232262168
28,0.00017783710052299284
29,0.00016814185819320166
30,0.0001662772877202607
