paradigm,band,n_released,n_form_gap_le_035,all_accuracy,form_gap_le_035_accuracy,all_mean_margin,form_gap_le_035_mean_margin
passive_1,head,1000,476,0.787,0.7794117647058824,2.7070667324414246,2.560549540095718
passive_1,tail,1000,642,0.795,0.778816199376947,2.837247294188532,2.731968315967572
passive_1,xtail,1000,593,0.7,0.6863406408094435,1.8509572890802883,1.7575245800534816
passive_2,head,1000,430,0.816,0.8255813953488372,2.4693578157238663,2.481204798011932
passive_2,tail,1000,667,0.799,0.7976011994002998,2.4426635561007717,2.396987294523275
passive_2,xtail,1000,581,0.727,0.7246127366609294,1.75360108487893,1.734975145881919
