regime,subtask,direction,site,site_index,n,mean_attribution,mean_abs_attribution,mean_corrupt_metric,mean_clean_metric
tail,intransitive,bad_to_good,resid_post_layer_21,22,11,5.959517045454546,5.959517045454546,-2.5795454545454546,2.03125
tail,intransitive,bad_to_good,resid_post_layer_22,23,11,5.595170454545454,5.595170454545454,-2.5795454545454546,2.03125
tail,intransitive,bad_to_good,resid_post_layer_19,20,11,5.463778409090909,5.463778409090909,-2.5795454545454546,2.03125
tail,intransitive,bad_to_good,resid_post_layer_16,17,11,5.177601207386363,5.177601207386363,-2.5795454545454546,2.03125
tail,intransitive,bad_to_good,resid_post_layer_20,21,11,5.1086647727272725,5.1086647727272725,-2.5795454545454546,2.03125
tail,intransitive,bad_to_good,resid_post_layer_15,16,11,4.7380149147727275,4.7380149147727275,-2.5795454545454546,2.03125
tail,intransitive,bad_to_good,resid_post_layer_18,19,11,4.581676136363637,4.581676136363637,-2.5795454545454546,2.03125
tail,intransitive,bad_to_good,resid_post_layer_23,24,11,4.578125,4.578125,-2.5795454545454546,2.03125
tail,intransitive,bad_to_good,resid_post_layer_14,15,11,4.181995738636363,4.198686079545454,-2.5795454545454546,2.03125
tail,intransitive,bad_to_good,resid_post_layer_17,18,11,4.076704545454546,4.076704545454546,-2.5795454545454546,2.03125
tail,intransitive,bad_to_good,resid_post_layer_13,14,11,3.546164772727273,3.6619318181818183,-2.5795454545454546,2.03125
tail,intransitive,bad_to_good,resid_post_layer_12,13,11,3.0035511363636362,3.260653409090909,-2.5795454545454546,2.03125
tail,intransitive,bad_to_good,resid_post_layer_11,12,11,2.16796875,2.535866477272727,-2.5795454545454546,2.03125
tail,intransitive,bad_to_good,resid_post_layer_10,11,11,2.014559659090909,2.446377840909091,-2.5795454545454546,2.03125
tail,intransitive,bad_to_good,resid_post_layer_07,8,11,1.609375,2.112215909090909,-2.5795454545454546,2.03125
tail,intransitive,bad_to_good,resid_post_layer_09,10,11,1.49609375,2.034446022727273,-2.5795454545454546,2.03125
tail,intransitive,bad_to_good,resid_post_layer_08,9,11,1.4350142045454546,1.9193892045454546,-2.5795454545454546,2.03125
tail,intransitive,bad_to_good,resid_post_layer_06,7,11,1.22265625,1.62109375,-2.5795454545454546,2.03125
tail,intransitive,bad_to_good,resid_post_layer_05,6,11,0.5145596590909091,1.41796875,-2.5795454545454546,2.03125
tail,intransitive,bad_to_good,resid_post_layer_01,2,11,0.2981178977272727,1.2895951704545454,-2.5795454545454546,2.03125
tail,intransitive,bad_to_good,resid_post_layer_02,3,11,0.8088600852272727,1.2335759943181819,-2.5795454545454546,2.03125
tail,intransitive,bad_to_good,resid_post_layer_03,4,11,0.5554865056818182,1.1659268465909092,-2.5795454545454546,2.03125
tail,intransitive,bad_to_good,resid_post_layer_04,5,11,0.44673295454545453,1.1409801136363635,-2.5795454545454546,2.03125
tail,intransitive,bad_to_good,resid_post_layer_00,1,11,0.5113636363636364,0.9834872159090909,-2.5795454545454546,2.03125
tail,intransitive,bad_to_good,resid_embed,0,11,0.15718217329545456,0.6261985085227273,-2.5795454545454546,2.03125
tail,intransitive,good_to_bad,resid_post_layer_23,24,11,4.578125,4.578125,-2.03125,2.5795454545454546
tail,intransitive,good_to_bad,resid_post_layer_20,21,11,4.189630681818182,4.189630681818182,-2.03125,2.5795454545454546
tail,intransitive,good_to_bad,resid_post_layer_22,23,11,3.9808238636363638,4.125,-2.03125,2.5795454545454546
tail,intransitive,good_to_bad,resid_post_layer_19,20,11,3.8201349431818183,3.8201349431818183,-2.03125,2.5795454545454546
tail,intransitive,good_to_bad,resid_post_layer_18,19,11,3.6722301136363638,3.6722301136363638,-2.03125,2.5795454545454546
tail,intransitive,good_to_bad,resid_post_layer_21,22,11,3.389737215909091,3.623757102272727,-2.03125,2.5795454545454546
tail,intransitive,good_to_bad,resid_post_layer_12,13,11,3.5099431818181817,3.5099431818181817,-2.03125,2.5795454545454546
tail,intransitive,good_to_bad,resid_post_layer_11,12,11,3.356711647727273,3.356711647727273,-2.03125,2.5795454545454546
tail,intransitive,good_to_bad,resid_post_layer_13,14,11,3.1821732954545454,3.1821732954545454,-2.03125,2.5795454545454546
tail,intransitive,good_to_bad,resid_post_layer_17,18,11,3.1560724431818183,3.1560724431818183,-2.03125,2.5795454545454546
tail,intransitive,good_to_bad,resid_post_layer_14,15,11,3.082741477272727,3.082741477272727,-2.03125,2.5795454545454546
tail,intransitive,good_to_bad,resid_post_layer_06,7,11,3.0805220170454546,3.0805220170454546,-2.03125,2.5795454545454546
tail,intransitive,good_to_bad,resid_post_layer_07,8,11,3.058327414772727,3.058327414772727,-2.03125,2.5795454545454546
tail,intransitive,good_to_bad,resid_post_layer_08,9,11,3.0298295454545454,3.0298295454545454,-2.03125,2.5795454545454546
tail,intransitive,good_to_bad,resid_post_layer_16,17,11,2.8512073863636362,2.8512073863636362,-2.03125,2.5795454545454546
tail,intransitive,good_to_bad,resid_post_layer_09,10,11,2.827414772727273,2.827414772727273,-2.03125,2.5795454545454546
tail,intransitive,good_to_bad,resid_post_layer_05,6,11,2.619656649502841,2.7851396040482954,-2.03125,2.5795454545454546
tail,intransitive,good_to_bad,resid_post_layer_10,11,11,2.686257102272727,2.686257102272727,-2.03125,2.5795454545454546
tail,intransitive,good_to_bad,resid_post_layer_15,16,11,2.550290194424716,2.5615706010298296,-2.03125,2.5795454545454546
tail,intransitive,good_to_bad,resid_post_layer_04,5,11,2.138760653409091,2.138760653409091,-2.03125,2.5795454545454546
tail,intransitive,good_to_bad,resid_post_layer_03,4,11,1.6198286576704546,1.9469327059659092,-2.03125,2.5795454545454546
tail,intransitive,good_to_bad,resid_post_layer_02,3,11,0.4112215909090909,1.6661931818181819,-2.03125,2.5795454545454546
tail,intransitive,good_to_bad,resid_post_layer_00,1,11,-0.07172185724431818,1.5418923117897727,-2.03125,2.5795454545454546
tail,intransitive,good_to_bad,resid_post_layer_01,2,11,-0.11652166193181818,1.3586203835227273,-2.03125,2.5795454545454546
tail,intransitive,good_to_bad,resid_embed,0,11,0.6178089488636364,0.9700816761363636,-2.03125,2.5795454545454546
xtail,intransitive,bad_to_good,resid_post_layer_15,16,9,4.772569444444445,4.772569444444445,-1.7361110581292047,1.472222195731269
xtail,intransitive,bad_to_good,resid_post_layer_16,17,9,4.610785590277778,4.610785590277778,-1.7361110581292047,1.472222195731269
xtail,intransitive,bad_to_good,resid_post_layer_18,19,9,4.458550347222222,4.493706597222222,-1.7361110581292047,1.472222195731269
xtail,intransitive,bad_to_good,resid_post_layer_14,15,9,4.167534722222222,4.167534722222222,-1.7361110581292047,1.472222195731269
xtail,intransitive,bad_to_good,resid_post_layer_21,22,9,4.022786458333333,4.144314236111111,-1.7361110581292047,1.472222195731269
xtail,intransitive,bad_to_good,resid_post_layer_17,18,9,3.8828125,3.9340277777777777,-1.7361110581292047,1.472222195731269
xtail,intransitive,bad_to_good,resid_post_layer_19,20,9,3.8276909722222223,3.8988715277777777,-1.7361110581292047,1.472222195731269
xtail,intransitive,bad_to_good,resid_post_layer_22,23,9,3.5396592881944446,3.719021267361111,-1.7361110581292047,1.472222195731269
xtail,intransitive,bad_to_good,resid_post_layer_20,21,9,3.513454861111111,3.67578125,-1.7361110581292047,1.472222195731269
xtail,intransitive,bad_to_good,resid_post_layer_13,14,9,3.404296875,3.404296875,-1.7361110581292047,1.472222195731269
xtail,intransitive,bad_to_good,resid_post_layer_23,24,9,3.1971571180555554,3.2403428819444446,-1.7361110581292047,1.472222195731269
xtail,intransitive,bad_to_good,resid_post_layer_12,13,9,2.8980577256944446,2.9179144965277777,-1.7361110581292047,1.472222195731269
xtail,intransitive,bad_to_good,resid_post_layer_10,11,9,2.599826388888889,2.8255208333333335,-1.7361110581292047,1.472222195731269
xtail,intransitive,bad_to_good,resid_post_layer_08,9,9,2.4583333333333335,2.5850694444444446,-1.7361110581292047,1.472222195731269
xtail,intransitive,bad_to_good,resid_post_layer_11,12,9,2.220486111111111,2.4774305555555554,-1.7361110581292047,1.472222195731269
xtail,intransitive,bad_to_good,resid_post_layer_07,8,9,2.2074652777777777,2.4418402777777777,-1.7361110581292047,1.472222195731269
xtail,intransitive,bad_to_good,resid_post_layer_02,3,9,1.9379340277777777,2.4266493055555554,-1.7361110581292047,1.472222195731269
xtail,intransitive,bad_to_good,resid_post_layer_06,7,9,2.0640190972222223,2.265407986111111,-1.7361110581292047,1.472222195731269
xtail,intransitive,bad_to_good,resid_post_layer_09,10,9,2.041015625,2.1378038194444446,-1.7361110581292047,1.472222195731269
xtail,intransitive,bad_to_good,resid_post_layer_05,6,9,1.56640625,1.9344618055555556,-1.7361110581292047,1.472222195731269
xtail,intransitive,bad_to_good,resid_post_layer_01,2,9,0.8389756944444444,1.6497395833333333,-1.7361110581292047,1.472222195731269
xtail,intransitive,bad_to_good,resid_post_layer_04,5,9,1.05078125,1.5203993055555556,-1.7361110581292047,1.472222195731269
xtail,intransitive,bad_to_good,resid_post_layer_03,4,9,1.02734375,1.4509548611111112,-1.7361110581292047,1.472222195731269
xtail,intransitive,bad_to_good,resid_post_layer_00,1,9,0.2707926432291667,0.8277859157986112,-1.7361110581292047,1.472222195731269
xtail,intransitive,bad_to_good,resid_embed,0,9,0.1642795138888889,0.701171875,-1.7361110581292047,1.472222195731269
xtail,intransitive,good_to_bad,resid_post_layer_23,24,9,3.1971571180555554,3.2403428819444446,-1.472222195731269,1.7361110581292047
xtail,intransitive,good_to_bad,resid_post_layer_19,20,9,2.9606119791666665,2.9606119791666665,-1.472222195731269,1.7361110581292047
xtail,intransitive,good_to_bad,resid_post_layer_07,8,9,2.9237196180555554,2.955837673611111,-1.472222195731269,1.7361110581292047
xtail,intransitive,good_to_bad,resid_post_layer_05,6,9,2.785373263888889,2.8891059027777777,-1.472222195731269,1.7361110581292047
xtail,intransitive,good_to_bad,resid_post_layer_06,7,9,2.7842881944444446,2.845920138888889,-1.472222195731269,1.7361110581292047
xtail,intransitive,good_to_bad,resid_post_layer_20,21,9,2.7057291666666665,2.802517361111111,-1.472222195731269,1.7361110581292047
xtail,intransitive,good_to_bad,resid_post_layer_18,19,9,2.6214192708333335,2.676974826388889,-1.472222195731269,1.7361110581292047
xtail,intransitive,good_to_bad,resid_post_layer_08,9,9,2.3663194444444446,2.4947916666666665,-1.472222195731269,1.7361110581292047
xtail,intransitive,good_to_bad,resid_post_layer_11,12,9,2.4291178385416665,2.440673828125,-1.472222195731269,1.7361110581292047
xtail,intransitive,good_to_bad,resid_post_layer_17,18,9,2.2682291666666665,2.3793402777777777,-1.472222195731269,1.7361110581292047
xtail,intransitive,good_to_bad,resid_post_layer_14,15,9,1.7261827256944444,2.3380533854166665,-1.472222195731269,1.7361110581292047
xtail,intransitive,good_to_bad,resid_post_layer_09,10,9,2.259494357638889,2.259494357638889,-1.472222195731269,1.7361110581292047
xtail,intransitive,good_to_bad,resid_post_layer_13,14,9,1.8483242458767362,2.1938103569878473,-1.472222195731269,1.7361110581292047
xtail,intransitive,good_to_bad,resid_post_layer_16,17,9,1.9325086805555556,2.191189236111111,-1.472222195731269,1.7361110581292047
xtail,intransitive,good_to_bad,resid_post_layer_22,23,9,2.1421440972222223,2.1421440972222223,-1.472222195731269,1.7361110581292047
xtail,intransitive,good_to_bad,resid_post_layer_04,5,9,1.9938693576388888,2.1388346354166665,-1.472222195731269,1.7361110581292047
xtail,intransitive,good_to_bad,resid_post_layer_10,11,9,2.0947265625,2.125759548611111,-1.472222195731269,1.7361110581292047
xtail,intransitive,good_to_bad,resid_post_layer_15,16,9,1.4501681857638888,1.9144151475694444,-1.472222195731269,1.7361110581292047
xtail,intransitive,good_to_bad,resid_post_layer_21,22,9,1.5657280815972223,1.9047580295138888,-1.472222195731269,1.7361110581292047
xtail,intransitive,good_to_bad,resid_post_layer_12,13,9,1.6924777560763888,1.8791097005208333,-1.472222195731269,1.7361110581292047
xtail,intransitive,good_to_bad,resid_post_layer_03,4,9,0.8845486111111112,1.2925347222222223,-1.472222195731269,1.7361110581292047
xtail,intransitive,good_to_bad,resid_post_layer_02,3,9,0.7020399305555556,1.248046875,-1.472222195731269,1.7361110581292047
xtail,intransitive,good_to_bad,resid_post_layer_01,2,9,-0.5126274956597222,0.9261745876736112,-1.472222195731269,1.7361110581292047
xtail,intransitive,good_to_bad,resid_embed,0,9,-0.5072699652777778,0.7288411458333334,-1.472222195731269,1.7361110581292047
xtail,intransitive,good_to_bad,resid_post_layer_00,1,9,-0.2877604166666667,0.5289713541666666,-1.472222195731269,1.7361110581292047
head,transitive,bad_to_good,resid_post_layer_18,19,19,6.378289473684211,6.378289473684211,-5.516447268034282,-0.19078951132924934
head,transitive,bad_to_good,resid_post_layer_19,20,19,6.031674033717105,6.037404913651316,-5.516447268034282,-0.19078951132924934
head,transitive,bad_to_good,resid_post_layer_16,17,19,5.8988486842105265,5.8988486842105265,-5.516447268034282,-0.19078951132924934
head,transitive,bad_to_good,resid_post_layer_23,24,19,5.3090049342105265,5.3090049342105265,-5.516447268034282,-0.19078951132924934
head,transitive,bad_to_good,resid_post_layer_17,18,19,5.262464021381579,5.270636307565789,-5.516447268034282,-0.19078951132924934
