regime,subtask,direction,site,site_index,n,mean_attribution,mean_abs_attribution,mean_corrupt_metric,mean_clean_metric
head,drop_argument,bad_to_good,resid_post_layer_21,22,15,6.699479166666666,8.1078125,0.4541666507720947,6.218749968210856
head,drop_argument,bad_to_good,resid_post_layer_22,23,15,6.477018229166666,7.339518229166667,0.4541666507720947,6.218749968210856
head,drop_argument,bad_to_good,resid_post_layer_23,24,15,5.773697916666666,6.75703125,0.4541666507720947,6.218749968210856
head,drop_argument,bad_to_good,resid_post_layer_18,19,15,5.745833333333334,6.620833333333334,0.4541666507720947,6.218749968210856
head,drop_argument,bad_to_good,resid_post_layer_19,20,15,6.00625,6.555208333333334,0.4541666507720947,6.218749968210856
head,drop_argument,bad_to_good,resid_post_layer_20,21,15,5.020572916666667,6.46171875,0.4541666507720947,6.218749968210856
head,drop_argument,bad_to_good,resid_post_layer_15,16,15,4.610416666666667,5.5625,0.4541666507720947,6.218749968210856
head,drop_argument,bad_to_good,resid_post_layer_16,17,15,4.201041666666667,5.496875,0.4541666507720947,6.218749968210856
head,drop_argument,bad_to_good,resid_post_layer_17,18,15,4.225651041666667,5.298828125,0.4541666507720947,6.218749968210856
head,drop_argument,bad_to_good,resid_post_layer_14,15,15,4.056640625,4.987109375,0.4541666507720947,6.218749968210856
head,drop_argument,bad_to_good,resid_post_layer_12,13,15,3.9559895833333334,4.414322916666666,0.4541666507720947,6.218749968210856
head,drop_argument,bad_to_good,resid_post_layer_13,14,15,3.8501302083333333,4.317838541666666,0.4541666507720947,6.218749968210856
head,drop_argument,bad_to_good,resid_post_layer_10,11,15,3.2903645833333335,3.6986979166666667,0.4541666507720947,6.218749968210856
head,drop_argument,bad_to_good,resid_post_layer_11,12,15,2.9677083333333334,3.544791666666667,0.4541666507720947,6.218749968210856
head,drop_argument,bad_to_good,resid_post_layer_09,10,15,3.109765625,3.4360677083333333,0.4541666507720947,6.218749968210856
head,drop_argument,bad_to_good,resid_post_layer_08,9,15,2.7633463541666665,2.9590494791666666,0.4541666507720947,6.218749968210856
head,drop_argument,bad_to_good,resid_post_layer_06,7,15,2.6918619791666667,2.9508463541666665,0.4541666507720947,6.218749968210856
head,drop_argument,bad_to_good,resid_post_layer_07,8,15,2.756640625,2.911848958333333,0.4541666507720947,6.218749968210856
head,drop_argument,bad_to_good,resid_post_layer_05,6,15,2.478515625,2.7389322916666665,0.4541666507720947,6.218749968210856
head,drop_argument,bad_to_good,resid_post_layer_04,5,15,2.158203125,2.461328125,0.4541666507720947,6.218749968210856
head,drop_argument,bad_to_good,resid_post_layer_02,3,15,1.48984375,2.435677083333333,0.4541666507720947,6.218749968210856
head,drop_argument,bad_to_good,resid_post_layer_03,4,15,1.4311848958333333,2.1994140625,0.4541666507720947,6.218749968210856
head,drop_argument,bad_to_good,resid_post_layer_01,2,15,1.323583984375,2.1569173177083334,0.4541666507720947,6.218749968210856
head,drop_argument,bad_to_good,resid_post_layer_00,1,15,1.0156656901041667,1.7687906901041666,0.4541666507720947,6.218749968210856
head,drop_argument,bad_to_good,resid_embed,0,15,1.1013509114583333,1.7184733072916667,0.4541666507720947,6.218749968210856
head,drop_argument,good_to_bad,resid_post_layer_23,24,15,5.773697916666666,6.75703125,-6.218749968210856,-0.4541666507720947
head,drop_argument,good_to_bad,resid_post_layer_18,19,15,5.791666666666667,6.283333333333333,-6.218749968210856,-0.4541666507720947
head,drop_argument,good_to_bad,resid_post_layer_19,20,15,6.028125,6.267708333333333,-6.218749968210856,-0.4541666507720947
head,drop_argument,good_to_bad,resid_post_layer_16,17,15,5.792708333333334,6.040625,-6.218749968210856,-0.4541666507720947
head,drop_argument,good_to_bad,resid_post_layer_20,21,15,5.294498697916667,5.384147135416667,-6.218749968210856,-0.4541666507720947
head,drop_argument,good_to_bad,resid_post_layer_22,23,15,4.597916666666666,5.352083333333334,-6.218749968210856,-0.4541666507720947
head,drop_argument,good_to_bad,resid_post_layer_15,16,15,4.790625,5.192708333333333,-6.218749968210856,-0.4541666507720947
head,drop_argument,good_to_bad,resid_post_layer_17,18,15,5.185677083333333,5.185677083333333,-6.218749968210856,-0.4541666507720947
head,drop_argument,good_to_bad,resid_post_layer_14,15,15,4.758854166666667,4.927604166666667,-6.218749968210856,-0.4541666507720947
head,drop_argument,good_to_bad,resid_post_layer_21,22,15,3.0453776041666667,3.957877604166667,-6.218749968210856,-0.4541666507720947
head,drop_argument,good_to_bad,resid_post_layer_13,14,15,3.4404947916666666,3.7134114583333333,-6.218749968210856,-0.4541666507720947
head,drop_argument,good_to_bad,resid_post_layer_12,13,15,2.4208333333333334,2.7427083333333333,-6.218749968210856,-0.4541666507720947
head,drop_argument,good_to_bad,resid_post_layer_11,12,15,2.3202799479166667,2.4452799479166667,-6.218749968210856,-0.4541666507720947
head,drop_argument,good_to_bad,resid_post_layer_10,11,15,2.0464518229166666,2.1924153645833333,-6.218749968210856,-0.4541666507720947
head,drop_argument,good_to_bad,resid_post_layer_09,10,15,1.6454427083333334,2.0170572916666667,-6.218749968210856,-0.4541666507720947
head,drop_argument,good_to_bad,resid_post_layer_08,9,15,1.4678385416666666,1.7859375,-6.218749968210856,-0.4541666507720947
head,drop_argument,good_to_bad,resid_post_layer_07,8,15,1.1193684895833333,1.4173502604166666,-6.218749968210856,-0.4541666507720947
head,drop_argument,good_to_bad,resid_post_layer_05,6,15,0.5488199869791667,1.3592366536458333,-6.218749968210856,-0.4541666507720947
head,drop_argument,good_to_bad,resid_post_layer_06,7,15,0.7909505208333333,1.3046223958333334,-6.218749968210856,-0.4541666507720947
head,drop_argument,good_to_bad,resid_post_layer_04,5,15,0.4920572916666667,1.2944010416666667,-6.218749968210856,-0.4541666507720947
head,drop_argument,good_to_bad,resid_post_layer_03,4,15,0.086328125,1.0217447916666667,-6.218749968210856,-0.4541666507720947
head,drop_argument,good_to_bad,resid_post_layer_02,3,15,-0.022696940104166667,0.8720296223958334,-6.218749968210856,-0.4541666507720947
