regime,subtask,direction,site,site_index,n,mean_attribution,mean_abs_attribution,mean_corrupt_metric,mean_clean_metric
tail,causative,bad_to_good,resid_post_layer_19,20,12,4.0458984375,4.201497395833333,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_18,19,12,3.6295572916666665,4.129557291666667,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_20,21,12,4.061614990234375,4.116953531901042,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_16,17,12,3.595703125,3.88671875,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_14,15,12,2.984619140625,3.3741048177083335,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_17,18,12,3.2320353190104165,3.37200927734375,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_15,16,12,2.7701212565104165,3.1218058268229165,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_13,14,12,2.4352213541666665,2.7457682291666665,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_12,13,12,1.7122395833333333,2.3938802083333335,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_11,12,12,2.1437174479166665,2.34716796875,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_09,10,12,1.6380208333333333,1.96484375,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_10,11,12,1.62298583984375,1.9529012044270833,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_07,8,12,1.080985387166341,1.9039020538330078,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_06,7,12,0.6573079427083334,1.8218587239583333,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_08,9,12,1.2526041666666667,1.7727864583333333,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_03,4,12,0.10835774739583333,1.7366943359375,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_05,6,12,0.13592529296875,1.6485799153645833,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_04,5,12,0.739013671875,1.5982259114583333,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_01,2,12,-0.6358235677083334,1.4063313802083333,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_02,3,12,0.11037190755208333,1.3818155924479167,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_00,1,12,-0.4163411458333333,1.1888020833333333,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_embed,0,12,-0.3546346028645833,0.7612508138020834,-6.166666626930237,-2.5494791865348816
tail,causative,good_to_bad,resid_post_layer_18,19,12,3.8942057291666665,5.1845703125,2.5494791865348816,6.166666626930237
tail,causative,good_to_bad,resid_post_layer_16,17,12,3.7268880208333335,4.713216145833333,2.5494791865348816,6.166666626930237
tail,causative,good_to_bad,resid_post_layer_15,16,12,3.9010823567708335,4.652303059895833,2.5494791865348816,6.166666626930237
tail,causative,good_to_bad,resid_post_layer_19,20,12,3.5359700520833335,4.64794921875,2.5494791865348816,6.166666626930237
tail,causative,good_to_bad,resid_post_layer_17,18,12,3.524658203125,4.582275390625,2.5494791865348816,6.166666626930237
tail,causative,good_to_bad,resid_post_layer_20,21,12,3.454645792643229,4.5687917073567705,2.5494791865348816,6.166666626930237
tail,causative,good_to_bad,resid_post_layer_21,22,12,4.013020833333333,4.337239583333333,2.5494791865348816,6.166666626930237
tail,causative,good_to_bad,resid_post_layer_23,24,12,3.6131184895833335,4.300944010416667,2.5494791865348816,6.166666626930237
tail,causative,good_to_bad,resid_post_layer_14,15,12,3.1332600911458335,3.9438069661458335,2.5494791865348816,6.166666626930237
tail,causative,good_to_bad,resid_post_layer_22,23,12,3.3323771158854165,3.9374796549479165,2.5494791865348816,6.166666626930237
tail,causative,good_to_bad,resid_post_layer_13,14,12,2.9593912760416665,3.5560709635416665,2.5494791865348816,6.166666626930237
tail,causative,good_to_bad,resid_post_layer_12,13,12,2.8829752604166665,3.40576171875,2.5494791865348816,6.166666626930237
tail,causative,good_to_bad,resid_post_layer_07,8,12,2.382080078125,2.8326009114583335,2.5494791865348816,6.166666626930237
tail,causative,good_to_bad,resid_post_layer_10,11,12,2.2408854166666665,2.822265625,2.5494791865348816,6.166666626930237
tail,causative,good_to_bad,resid_post_layer_02,3,12,1.0472208658854167,2.7730916341145835,2.5494791865348816,6.166666626930237
tail,causative,good_to_bad,resid_post_layer_06,7,12,2.0365397135416665,2.6693522135416665,2.5494791865348816,6.166666626930237
tail,causative,good_to_bad,resid_post_layer_09,10,12,1.9676717122395833,2.60504150390625,2.5494791865348816,6.166666626930237
tail,causative,good_to_bad,resid_post_layer_03,4,12,0.9698893229166666,2.60205078125,2.5494791865348816,6.166666626930237
tail,causative,good_to_bad,resid_post_layer_00,1,12,-0.061197916666666664,2.58203125,2.5494791865348816,6.166666626930237
tail,causative,good_to_bad,resid_post_layer_08,9,12,1.9697265625,2.5738932291666665,2.5494791865348816,6.166666626930237
tail,causative,good_to_bad,resid_post_layer_11,12,12,1.885498046875,2.5209147135416665,2.5494791865348816,6.166666626930237
tail,causative,good_to_bad,resid_post_layer_04,5,12,1.2151692708333333,2.5113932291666665,2.5494791865348816,6.166666626930237
tail,causative,good_to_bad,resid_post_layer_05,6,12,1.7954915364583333,2.3677571614583335,2.5494791865348816,6.166666626930237
tail,causative,good_to_bad,resid_post_layer_01,2,12,0.9895833333333334,2.1637369791666665,2.5494791865348816,6.166666626930237
tail,causative,good_to_bad,resid_embed,0,12,-0.2630971272786458,1.6948293050130208,2.5494791865348816,6.166666626930237
xtail,causative,bad_to_good,resid_post_layer_23,24,10,2.498046875,2.808203125,-6.2375,-3.731250047683716
xtail,causative,bad_to_good,resid_post_layer_18,19,10,2.5604827880859373,2.5606109619140627,-6.2375,-3.731250047683716
xtail,causative,bad_to_good,resid_post_layer_20,21,10,2.331640625,2.480078125,-6.2375,-3.731250047683716
xtail,causative,bad_to_good,resid_post_layer_16,17,10,2.1683837890625,2.4043212890625,-6.2375,-3.731250047683716
xtail,causative,bad_to_good,resid_post_layer_19,20,10,2.3857421875,2.3857421875,-6.2375,-3.731250047683716
xtail,causative,bad_to_good,resid_post_layer_15,16,10,1.690234375,2.160546875,-6.2375,-3.731250047683716
xtail,causative,bad_to_good,resid_post_layer_17,18,10,1.97392578125,2.11044921875,-6.2375,-3.731250047683716
xtail,causative,bad_to_good,resid_post_layer_14,15,10,2.0447265625,2.0447265625,-6.2375,-3.731250047683716
xtail,causative,bad_to_good,resid_post_layer_11,12,10,1.2283203125,1.9970703125,-6.2375,-3.731250047683716
xtail,causative,bad_to_good,resid_post_layer_22,23,10,1.73349609375,1.97744140625,-6.2375,-3.731250047683716
xtail,causative,bad_to_good,resid_post_layer_12,13,10,1.086181640625,1.952099609375,-6.2375,-3.731250047683716
xtail,causative,bad_to_good,resid_post_layer_10,11,10,0.990625,1.90078125,-6.2375,-3.731250047683716
xtail,causative,bad_to_good,resid_post_layer_13,14,10,1.6208984375,1.8591796875,-6.2375,-3.731250047683716
xtail,causative,bad_to_good,resid_post_layer_09,10,10,1.051171875,1.791796875,-6.2375,-3.731250047683716
xtail,causative,bad_to_good,resid_post_layer_08,9,10,0.7453125,1.6578125,-6.2375,-3.731250047683716
xtail,causative,bad_to_good,resid_post_layer_07,8,10,0.86376953125,1.50732421875,-6.2375,-3.731250047683716
xtail,causative,bad_to_good,resid_post_layer_21,22,10,0.716363525390625,1.505035400390625,-6.2375,-3.731250047683716
xtail,causative,bad_to_good,resid_post_layer_06,7,10,0.753759765625,1.256494140625,-6.2375,-3.731250047683716
xtail,causative,bad_to_good,resid_post_layer_00,1,10,-0.53837890625,1.25576171875,-6.2375,-3.731250047683716
xtail,causative,bad_to_good,resid_post_layer_04,5,10,0.202734375,1.2390625,-6.2375,-3.731250047683716
xtail,causative,bad_to_good,resid_post_layer_03,4,10,0.313330078125,1.151123046875,-6.2375,-3.731250047683716
xtail,causative,bad_to_good,resid_post_layer_01,2,10,-0.159375,1.0703125,-6.2375,-3.731250047683716
xtail,causative,bad_to_good,resid_post_layer_05,6,10,0.55101318359375,1.02965087890625,-6.2375,-3.731250047683716
xtail,causative,bad_to_good,resid_post_layer_02,3,10,-0.231591796875,1.012939453125,-6.2375,-3.731250047683716
xtail,causative,bad_to_good,resid_embed,0,10,0.145703125,0.84189453125,-6.2375,-3.731250047683716
xtail,causative,good_to_bad,resid_post_layer_21,22,10,3.9810546875,4.6654296875,3.731250047683716,6.2375
xtail,causative,good_to_bad,resid_post_layer_22,23,10,3.555029296875,3.887841796875,3.731250047683716,6.2375
xtail,causative,good_to_bad,resid_post_layer_19,20,10,2.8723175048828127,3.8558074951171877,3.731250047683716,6.2375
xtail,causative,good_to_bad,resid_post_layer_20,21,10,2.55390625,3.7859375,3.731250047683716,6.2375
xtail,causative,good_to_bad,resid_post_layer_18,19,10,2.451171875,3.469140625,3.731250047683716,6.2375
xtail,causative,good_to_bad,resid_post_layer_15,16,10,2.575390625,3.131640625,3.731250047683716,6.2375
xtail,causative,good_to_bad,resid_post_layer_17,18,10,2.74228515625,2.8345703125,3.731250047683716,6.2375
xtail,causative,good_to_bad,resid_post_layer_16,17,10,2.0720458984375,2.8154541015625,3.731250047683716,6.2375
xtail,causative,good_to_bad,resid_post_layer_23,24,10,2.498046875,2.808203125,3.731250047683716,6.2375
xtail,causative,good_to_bad,resid_post_layer_13,14,10,2.032212829589844,2.6912246704101563,3.731250047683716,6.2375
xtail,causative,good_to_bad,resid_post_layer_12,13,10,2.16585693359375,2.66851806640625,3.731250047683716,6.2375
xtail,causative,good_to_bad,resid_post_layer_14,15,10,1.97939453125,2.61337890625,3.731250047683716,6.2375
xtail,causative,good_to_bad,resid_post_layer_01,2,10,2.187548828125,2.506298828125,3.731250047683716,6.2375
xtail,causative,good_to_bad,resid_post_layer_02,3,10,1.305419921875,2.325341796875,3.731250047683716,6.2375
xtail,causative,good_to_bad,resid_post_layer_10,11,10,1.4169921875,2.0033203125,3.731250047683716,6.2375
xtail,causative,good_to_bad,resid_post_layer_06,7,10,1.530078125,1.993359375,3.731250047683716,6.2375
xtail,causative,good_to_bad,resid_post_layer_05,6,10,1.6935546875,1.9845703125,3.731250047683716,6.2375
xtail,causative,good_to_bad,resid_post_layer_03,4,10,1.032421875,1.918359375,3.731250047683716,6.2375
xtail,causative,good_to_bad,resid_post_layer_11,12,10,1.279296875,1.900390625,3.731250047683716,6.2375
xtail,causative,good_to_bad,resid_post_layer_07,8,10,1.36953125,1.823046875,3.731250047683716,6.2375
xtail,causative,good_to_bad,resid_post_layer_09,10,10,1.1025390625,1.509375,3.731250047683716,6.2375
xtail,causative,good_to_bad,resid_post_layer_04,5,10,1.1724609375,1.45537109375,3.731250047683716,6.2375
xtail,causative,good_to_bad,resid_post_layer_08,9,10,1.1944183349609374,1.4461822509765625,3.731250047683716,6.2375
xtail,causative,good_to_bad,resid_post_layer_00,1,10,0.29013671875,1.32666015625,3.731250047683716,6.2375
xtail,causative,good_to_bad,resid_embed,0,10,-0.63984375,0.862890625,3.731250047683716,6.2375
head,inchoative,bad_to_good,resid_post_layer_21,22,18,7.351779513888889,7.351779513888889,-0.3506944643126594,4.932291679912144
head,inchoative,bad_to_good,resid_post_layer_22,23,18,6.1640625,6.1640625,-0.3506944643126594,4.932291679912144
head,inchoative,bad_to_good,resid_post_layer_20,21,18,5.753038194444445,5.753038194444445,-0.3506944643126594,4.932291679912144
head,inchoative,bad_to_good,resid_post_layer_19,20,18,5.312065972222222,5.522135416666667,-0.3506944643126594,4.932291679912144
head,inchoative,bad_to_good,resid_post_layer_23,24,18,5.276041666666667,5.276041666666667,-0.3506944643126594,4.932291679912144
head,inchoative,bad_to_good,resid_post_layer_18,19,18,3.847873263888889,4.120876736111111,-0.3506944643126594,4.932291679912144
